# 1a1427e3-cf80-402a-97e9-bb76bb3ec4cc
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-2.5956433; 1.3303817; 2.7278633; 0.5898836; -0.8036449; -0.5951091; -0.0284639; 0.0000000; -2.3334706; 0.6157584; 2.2244644; 1.4548004
-2.4106803; 1.1112667; 2.2365494; 0.8117193; -0.7223983; -0.6914772; -0.0811201; 0.2850212; -2.1800843; 0.4111354; 2.4251619; 3.0417242
-2.1999811; 0.9158052; 1.8395791; 0.9963878; -0.6369694; -0.7708891; -0.1330487; 0.5649527; -2.0736096; 0.3070012; 2.7841604; 2.8920657
-1.9663055; 0.7429927; 1.5370541; 1.1417061; -0.5523335; -0.8336232; -0.1789712; 0.8430906; -2.0143426; 0.2868711; 2.9874208; 2.8532348
-1.7124135; 0.5918246; 1.3026643; 1.2578658; -0.4715609; -0.8818335; -0.2192762; 1.1228704; -1.9337119; 0.2526169; 3.2547681; 2.5997053
-1.4410651; 0.4612966; 1.1187098; 1.3518120; -0.3964332; -0.9180636; -0.2550155; 1.4065480; -1.8627719; 0.2226131; 3.4845330; 2.3922836
-1.1550202; 0.3504041; 0.9728235; 1.4283880; -0.3275982; -0.9448171; -0.2870321; 1.6951721; -1.8003987; 0.1952436; 3.6856391; 2.2255052
-0.8570387; 0.2581426; 0.8588824; 1.4896575; -0.2650019; -0.9642479; -0.3159032; 1.9888298; -1.7455108; 0.1728080; 3.8642240; 2.1018877
-0.5498806; 0.1835075; 0.7712731; 1.5376872; -0.2081750; -0.9780916; -0.3420531; 2.2868783; -1.6966789; 0.1546831; 4.0254577; 1.9983817
-0.2363059; 0.1254945; 0.7059823; 1.5739526; -0.1564691; -0.9876829; -0.3658116; 2.5881361; -1.6525848; 0.1411395; 4.1721153; 0.4347316
0.0809257; 0.0830991; 0.6605721; 1.5991112; -0.1090821; -0.9940327; -0.3876240; 2.8909940; -1.6105268; 0.1408301; 4.2032189; -0.1833489
0.3990540; 0.0553166; 0.6321370; 1.6146577; -0.0654850; -0.9978536; -0.4084428; 3.1936593; -1.5687071; 0.1397896; 4.1896033; -0.4171855
0.7153450; 0.0411629; 0.6192717; 1.6210594; -0.0238794; -0.9997148; -0.4291059; 3.4935613; -1.5257550; 0.1489280; 4.1591653; -0.6160123
1.0279809; 0.0403717; 0.6214281; 1.6182246; 0.0195698; -0.9998085; -0.4501359; 3.7878674; -1.4782830; 0.1696298; 4.1141654; -0.7838426
