# 2ccf5021-f0b2-4f88-9599-02c3ce55c94b
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-2.5956433; 1.3303817; 2.8929225; 0.7926567; -0.8036449; -0.5951091; 0.0799565; 0.0000000; -2.6199614; 0.3509799; 3.3791055; -1.0016757
-2.4106803; 1.1112667; 2.3964946; 0.9971063; -0.7223983; -0.6914772; 0.1173358; 0.3016340; -2.5079335; 0.3964046; 3.2900491; -0.8569078
-2.1999811; 0.9158052; 1.9953644; 1.1680188; -0.6369694; -0.7708891; 0.1556456; 0.6075265; -2.3834557; 0.4364063; 3.2120232; -0.6895605
-1.9663055; 0.7429927; 1.6899285; 1.3030556; -0.5523335; -0.8336232; 0.1874873; 0.9180865; -2.2495928; 0.4597474; 3.1485224; -0.4295120
-1.7124135; 0.5918246; 1.4537102; 1.4113639; -0.4715609; -0.8818335; 0.2062230; 1.2329043; -2.1117875; 0.4617603; 3.1115138; 0.1574332
-1.4410651; 0.4612966; 1.2688462; 1.4991964; -0.3964332; -0.9180636; 0.2077777; 1.5515365; -1.9385126; 0.3976505; 3.1725414; 1.3411099
-1.1550202; 0.3504041; 1.1228332; 1.5709121; -0.3275982; -0.9448171; 0.1930752; 1.8736571; -1.8322821; 0.3165604; 3.2983059; 1.4186803
-0.8570387; 0.2581426; 1.0094427; 1.6283215; -0.2650019; -0.9642479; 0.1665629; 2.1986070; -1.7438198; 0.2758914; 3.4261336; 1.3811730
-0.5498806; 0.1835075; 0.9229697; 1.6732687; -0.2081750; -0.9780916; 0.1306341; 2.5254921; -1.6654599; 0.2491286; 3.5457248; 1.4330072
-0.2363059; 0.1254945; 0.8593285; 1.7070710; -0.1564691; -0.9876829; 0.0864276; 2.8531891; -1.5727305; 0.2166482; 3.7069160; 1.5558016
0.0809257; 0.0830991; 0.8160165; 1.7302801; -0.1090821; -0.9940327; 0.0352243; 3.1802609; -1.5110952; 0.1961217; 3.8318247; 1.6356456
0.3990540; 0.0553166; 0.7900897; 1.7443039; -0.0654850; -0.9978536; -0.0215178; 3.5049615; -1.4551907; 0.1782454; 3.9588000; 1.6811219
0.7153450; 0.0411629; 0.7801101; 1.7495553; -0.0238794; -0.9997148; -0.0823481; 3.8252738; -1.4030188; 0.1713009; 4.0850688; 1.7068390
1.0279809; 0.0403717; 0.7855274; 1.7459025; 0.0195698; -0.9998085; -0.1458803; 4.1394553; -1.3338119; 0.1766594; 4.2489979; 1.6906706
1.3362872; 0.0535722; 0.8069676; 1.7323581; 0.0666232; -0.9977782; -0.2107751; 4.4465921; -1.2804608; 0.1803391; 4.3666316; 1.6458746
1.6396609; 0.0814500; 0.8452084; 1.7082153; 0.1170604; -0.9931248; -0.2757188; 4.7460585; -1.2258373; 0.1849371; 4.4779183; 1.5769908
1.9374993; 0.1246907; 0.9019284; 1.6722924; 0.1709182; -0.9852852; -0.3394215; 5.0373371; -1.1699292; 0.1887278; 4.5815275; 1.4852736
2.2291996; 0.1839799; 0.9783195; 1.6240617; 0.2280042; -0.9736601; -0.4006218; 5.3201506; -1.1321368; 0.1906013; 4.6459457; 1.4142097
2.5141589; 0.2600031; 1.0772344; 1.5622718; 0.2879817; -0.9576359; -0.4580939; 5.5945120; -1.0750368; 0.1911584; 4.7344923; 1.2464356
2.7917745; 0.3534460; 1.2024299; 1.4855653; 0.3503078; -0.9366346; -0.5106437; 5.8608151; -1.0183491; 0.1869995; 4.8114912; 1.0742823
3.0614435; 0.4649940; 1.3585246; 1.3927534; 0.4142315; -0.9101716; -0.5570934; 6.1199111; -0.9816118; 0.1806850; 4.8559107; 0.9739902
3.3225631; 0.5953328; 1.5528568; 1.2819876; 0.4787824; -0.8779336; -0.5962943; 6.3732014; -0.9294479; 0.1676097; 4.9127493; 0.7566039
3.5745305; 0.7451479; 1.7977836; 1.1500956; 0.5428767; -0.8398124; -0.6272045; 6.6226544; -0.8968512; 0.1582654; 4.9434115; 0.6981038
3.8167429; 0.9151249; 2.1124226; 1.0489611; 0.6051504; -0.7961112; -0.6489611; 6.8709827; -0.8513191; 0.1469430; 4.9836696; 0.6279186
4.0482005; 1.1057221; 2.4289642; 1.1400641; 0.6655352; -0.7463664; -0.6609049; 7.1198746; -0.8213503; 0.1544801; 5.0087621; 0.6593502
4.2652374; 1.3158721; 2.2523865; 1.3281939; 0.7252508; -0.6884847; -0.6625839; 7.3669692; -0.7718497; 0.1790719; 5.0490608; 0.7726975
4.4630898; 1.5438789; 1.8074550; 1.4581206; 0.7847764; -0.6197790; -0.6537766; 7.6092090; -0.7338934; 0.2025058; 5.0795314; 0.8465062
4.6369907; 1.7880447; 1.4695110; 1.5465402; 0.8434213; -0.5372528; -0.6345367; 7.8445995; -0.6634842; 0.2690020; 5.1311586; 0.9836886
4.7821728; 2.0466718; 1.2306825; 1.6059148; 0.8989366; -0.4380787; -0.6052287; 8.0727077; -0.6062985; 0.3116070; 5.1693616; 1.0659533
4.8938693; 2.3180623; 1.0697751; 1.6517709; 0.9479189; -0.3185119; -0.5665630; 8.2940281; -0.5280379; 0.4590619; 5.2103987; 1.0536460
4.9687537; 2.6004673; 0.9734171; 1.6871118; 0.9803591; -0.1972206; -0.5196114; 8.5228395; -0.4340130; 0.4675661; 5.2505533; 0.9886196
5.0119646; 2.8918370; 0.9230398; 1.7092470; 0.9948424; -0.1014326; -0.4657896; 8.7753653; -0.3177976; 0.3100874; 5.3043605; 0.7733191
