# a8574479-7413-4bcb-82af-bb73d92bce91
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1684390; -0.6172593; 1.8180128; 0.0007098; 9.8433492; 0.0000582
1.9965545; -1.7671236; -1.1071234; 1.8192985; 0.0005783; 9.8433610; 0.0000422
3.9931090; -3.7021884; -1.5991481; 1.8200584; -0.0000743; 9.8433695; 0.0000266
5.9896635; -5.6371533; -2.0907571; 1.8187524; -0.0012031; 9.8433749; 0.0000233
7.9862180; -7.5731526; -2.5790827; 1.8173269; -0.0002246; 9.8433797; 0.0000142
9.9827726; -9.5093442; -3.0664681; 1.8176734; 0.0004047; 9.8433825; 0.0000057
11.9793271; -11.4450059; -3.5553339; 1.8187892; 0.0006556; 9.8433837; -0.0000039
13.9758816; -13.3804872; -4.0456651; 1.8185099; -0.0009357; 9.8433829; -0.0000115
15.9724361; -15.3167626; -4.5328952; 1.8165237; 0.0002003; 9.8433806; -0.0000207
17.9689906; -17.2525408; -5.0211599; 1.8203524; 0.0031514; 9.8433764; -0.0000726
19.9655451; -19.1867926; -5.5159479; 1.8198365; -0.0036694; 9.8433617; -0.0002418
21.9620996; -21.1240327; -5.9988420; 1.8120367; 0.0008387; 9.8433126; -0.0005107
23.9586541; -23.0601466; -6.4860717; 1.8269549; 0.0122698; 9.8432090; -0.0023223
25.9552086; -24.9872398; -7.0057923; 1.8365090; -0.0026874; 9.8427380; -0.0078230
27.9517632; -26.9149971; -7.5136209; 1.8136546; -0.0221686; 9.8411510; -0.3160290
29.9483177; -28.8692321; -7.9368990; 1.7476407; -0.0396354; 9.7768254; -3.6792391
31.9448722; -30.8469525; -8.2303554; 1.6983613; -0.0101271; 8.9941488; -7.1788918
33.9414267; -32.9628320; -8.4607958; 1.6065462; -0.1668794; 7.2269367; -3.5225945
35.9379812; -34.5768196; -7.9172283; 0.6574718; -0.5812520; 6.1775813; 10.5295938
37.9345357; -35.5017521; -6.0677906; 0.5123447; 0.1635075; 8.9559101; 2.0589545
39.9310902; -36.6465479; -4.4474729; 0.6719038; 0.0197409; 9.4037203; 1.3476554
41.9276447; -37.9007401; -2.8367135; 0.6350799; -0.0257638; 9.6856229; 0.5396435
43.9241993; -39.0418910; -1.2296973; 0.6085195; 0.0002020; 9.7962313; 0.1223502
45.9207538; -40.1812582; 0.4051722; 0.6085449; -0.0003494; 9.8211356; 0.0724447
47.9173083; -41.3242290; 2.0476008; 0.6072208; -0.0008781; 9.8358520; 0.0259972
49.9138628; -42.4613574; 3.6877069; 0.6051344; -0.0011536; 9.8411277; 0.0058623
51.9104173; -43.5971919; 5.3302815; 0.6058723; 0.0018951; 9.8423169; 0.0034395
53.9069718; -44.7384499; 6.9689646; 0.6101903; 0.0001827; 9.8430146; 0.0011924
55.9035263; -45.8791306; 8.6066585; 0.6045808; -0.0058963; 9.8432565; -0.0008361
57.9000808; -47.0003882; 10.2595796; 0.5848580; -0.0138718; 9.8430869; -0.0002012
59.8966353; -48.0765587; 11.9413129; 0.5540242; -0.0132409; 9.8430461; 0.0003266
61.8931899; -49.1080682; 13.6495197; 0.5348914; -0.0062012; 9.8431123; 0.0007253
63.8897444; -50.1171572; 15.3716175; 0.5265211; -0.0021730; 9.8432595; 0.0003755
65.8862989; -51.1171907; 17.0965431; 0.5247665; -0.0004957; 9.8433356; 0.0001431
67.8828534; -52.1177748; 18.8266488; 0.5239817; -0.0002593; 9.8433647; 0.0000495
69.8794079; -53.1159911; 20.5545067; 0.5239196; 0.0001941; 9.8433747; 0.0000216
71.8759624; -54.1160678; 22.2844603; 0.5242589; -0.0001337; 9.8433791; 0.0000029
73.8725169; -55.1154463; 24.0143393; 0.5232644; -0.0006381; 9.8433797; -0.0000162
75.8690714; -56.1133322; 25.7450637; 0.5231535; 0.0005314; 9.8433764; -0.0000304
77.8656259; -57.1131750; 27.4757956; 0.5243618; 0.0000733; 9.8433702; -0.0000264
79.8621805; -58.1108244; 29.2023063; 0.5232739; 0.0000086; 9.8433649; 0.0000441
81.8587350; -59.1137830; 30.9300647; 0.5313415; 0.0081284; 9.8433738; -0.0010456
83.8552895; -60.1411635; 32.6392730; 0.5514502; 0.0099314; 9.8431617; -0.0009816
85.8518440; -61.2024916; 34.3285589; 0.5708375; 0.0132216; 9.8429626; 0.0010748
87.8483985; -62.3144309; 35.9865507; 0.6173766; 0.0333444; 9.8431806; -0.0103466
89.8449530; -63.5241081; 37.5732070; 0.6805227; 0.0225211; 9.8410817; -0.0081492
91.8415075; -64.8063170; 39.1064196; 0.7074292; 0.0097394; 9.8394283; 0.0066061
93.8380620; -66.1214916; 40.6086265; 0.7327574; 0.0156483; 9.8407687; -0.0180448
95.8346166; -67.4865904; 42.0665687; 0.7779560; 0.0315272; 9.8371069; -0.0108564
97.8311711; -68.9364133; 43.4348159; 0.8489554; 0.0197508; 9.8349033; 0.0145915
99.8277256; -70.4303306; 44.7599184; 0.8181643; -0.0501912; 9.8378650; -0.8535168
101.8242801; -71.8058463; 46.1874899; 0.7238286; -0.0334464; 9.6630948; -3.0754540
103.8208346; -73.0933365; 47.7195934; 0.6760589; -0.0317022; 9.0052639; -6.0814178
105.8173891; -74.2702064; 49.3359604; 0.5678943; -0.0757894; 7.5373082; -7.1514758
107.8139436; -75.2437414; 51.3452253; 0.2545565; -0.3534762; 5.3154860; -1.4965015
109.8104981; -74.5515693; 52.4081195; -1.4445574; -0.2752077; 4.7200316; 4.8712032
111.8070526; -72.4166831; 52.7014116; -1.3202475; 0.0891043; 6.4598718; 9.2787336
113.8036072; -70.4691847; 53.3178202; -1.2378081; 0.0000263; 8.8758627; 2.3218404
115.8001617; -68.5615805; 53.9473765; -1.2804367; -0.0428398; 9.3836187; 1.4748076
117.7967162; -66.6301224; 54.4093370; -1.3983161; -0.0615909; 9.6923355; 0.4899362
119.7932707; -64.6493796; 54.6389971; -1.5080236; -0.0484149; 9.7927390; 0.1170659
121.7898252; -62.6546884; 54.6672089; -1.6065130; -0.0512113; 9.8165775; 0.0692076
123.7863797; -60.6672804; 54.4940284; -1.7049424; -0.0380133; 9.8306433; 0.0395327
125.7829342; -58.6952104; 54.1743354; -1.7467777; -0.0040345; 9.8386689; 0.0127319
127.7794887; -56.7272931; 53.8229312; -1.7470782; 0.0013780; 9.8412522; 0.0070131
129.7760432; -54.7626330; 53.4773923; -1.7425135; 0.0016924; 9.8426749; 0.0023063
131.7725978; -52.7958774; 53.1374559; -1.7425045; -0.0016883; 9.8431427; 0.0006570
133.7691523; -50.8291698; 52.7931630; -1.7452528; -0.0006742; 9.8432760; 0.0003394
135.7657068; -48.8629806; 52.4461718; -1.7453856; 0.0002173; 9.8433448; 0.0001169
137.7622613; -46.8968550; 52.0998909; -1.7448412; 0.0003283; 9.8433686; 0.0000404
139.7588158; -44.9295370; 51.7548693; -1.7438492; 0.0006856; 9.8433767; 0.0000193
141.7553703; -42.9622329; 51.4124868; -1.7425890; -0.0000885; 9.8433806; -0.0000001
143.7519248; -40.9962873; 51.0696264; -1.7451158; -0.0024511; 9.8433806; -0.0000450
145.7484793; -39.0290745; 50.7205427; -1.7461761; 0.0018255; 9.8433715; -0.0002444
147.7450339; -37.0628981; 50.3787698; -1.7386790; 0.0045788; 9.8433219; -0.0004801
149.7415884; -35.0936112; 50.0544649; -1.7292533; 0.0048591; 9.8432245; 0.0003439
151.7381429; -33.1193712; 49.7567269; -1.7075238; 0.0171767; 9.8432943; -0.0021594
153.7346974; -31.1379473; 49.5246796; -1.6677112; 0.0157587; 9.8428563; -0.0044922
155.7312519; -29.1474967; 49.3525379; -1.6514799; 0.0012263; 9.8419450; 0.0017122
157.7278064; -27.1555993; 49.2026832; -1.6359160; 0.0143944; 9.8422924; -0.0052114
159.7243609; -25.1691246; 49.1085596; -1.5994785; 0.0173831; 9.8412351; -0.0111765
161.7209154; -23.1652056; 49.0814114; -1.5717484; 0.0067939; 9.8389674; -0.0134822
163.7174699; -21.1521237; 49.0450388; -1.6308026; -0.0682348; 9.8362312; -1.0547103
165.7140245; -19.2217684; 48.7615933; -1.7914740; -0.0366358; 9.6197646; -2.2862935
167.7105790; -17.2448704; 48.3415641; -1.7300244; 0.0583020; 9.1329323; -6.2709846
169.7071335; -15.2243551; 48.0171840; -1.7891594; -0.1239272; 7.6400083; -6.5470230
171.7036880; -13.4051461; 47.1256410; -2.3694796; -0.4378834; 5.6768610; -2.5728032
173.7002425; -13.0036362; 45.4778294; 2.7956644; -0.4480709; 4.6854313; 5.4312610
175.6967970; -14.0701111; 43.6950926; 2.5784562; 0.0588805; 6.6061247; -2.2767820
177.6933515; -15.1286731; 41.9938801; 2.5406646; -0.0960575; 5.8778776; 4.1623296
179.6899060; -16.4552161; 40.5193215; 2.2791949; -0.1043606; 7.1533266; 7.6512207
181.6864605; -18.0608748; 39.3335990; 2.1611740; -0.0363805; 9.0400354; 0.0399308
183.6830151; -19.7692345; 38.3013450; 2.0568837; -0.0681680; 9.0488501; 1.5713490
185.6795696; -21.5941481; 37.4936570; 1.9237127; -0.0566027; 9.3891563; 1.4623263
187.6761241; -23.5038908; 36.8974328; 1.8266046; -0.0480225; 9.6951268; 0.4571676
189.6726786; -25.4545947; 36.4943225; 1.7182554; -0.0609246; 9.7888204; 0.1430494
191.6692331; -27.4397154; 36.3213471; 1.5984890; -0.0577357; 9.8179537; 0.0660268
193.6657876; -29.4270116; 36.3754652; 1.4922463; -0.0471011; 9.8313716; 0.0168723
195.6623421; -31.4141519; 36.6170968; 1.4119651; -0.0330659; 9.8347974; 0.0233023
197.6588966; -33.3683807; 36.9861839; 1.3612081; -0.0182551; 9.8395269; 0.0112474
199.6554512; -35.3113920; 37.4261337; 1.3411393; -0.0003961; 9.8418088; 0.0020320
201.6520057; -37.2721817; 37.8722751; 1.3590550; 0.0172873; 9.8422211; -0.0199680
203.6485602; -39.2336977; 38.2510157; 1.4049476; 0.0290097; 9.8381696; -1.3230924
205.6451147; -41.2254856; 38.5112685; 1.4901509; 0.0692271; 9.5658940; -2.5404958
207.6416692; -43.2067813; 38.4878686; 1.6991967; 0.1412996; 9.0200805; -8.7161661
209.6382237; -45.1228320; 37.9000484; 2.0723923; 0.2443484; 6.8232874; -2.4079798
211.6347782; -46.5054335; 36.5488819; 2.6065453; 0.2076070; 6.0779869; 3.9447845
213.6313327; -47.2652726; 34.6860059; 2.8507976; 0.0514406; 7.2590550; -0.5374598
215.6278872; -47.7247385; 32.6956170; 3.0069070; 0.1228856; 7.1096936; 3.3176621
217.6244418; -47.7137274; 30.7963531; -2.9923544; 0.1329484; 7.9872104; 5.7141266
219.6209963; -47.2184902; 28.8537206; -2.8218650; 0.0469436; 9.3065923; 1.5003558
221.6175508; -46.5158317; 26.9651418; -2.7570999; 0.0218880; 9.6230840; 0.6396563
223.6141053; -45.7151708; 25.1004807; -2.7126721; 0.0263008; 9.7548943; 0.2849971
225.6106598; -44.8428796; 23.3315238; -2.6513542; 0.0345808; 9.8130519; 0.0670474
