# 7b5caf03-45ec-48c4-8f2e-56c8b5834d9c
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.5587839; -0.5487479; -1.3067000; -0.0002611; 9.8433834; 0.0000005
0.5993601; 1.1373353; -0.3923720; -1.3069677; -0.0006322; 9.8433834; 0.0000005
1.1987203; 1.7160380; -0.2361904; -1.3074579; -0.0010031; 9.8433834; 0.0000005
1.7980804; 2.2947454; -0.0803321; -1.3079339; -0.0005826; 9.8433834; 0.0000005
2.3974405; 2.8735692; 0.0753408; -1.3081563; -0.0001593; 9.8433835; 0.0000016
2.9968007; 3.4523740; 0.2309454; -1.3081441; 0.0001994; 9.8433836; 0.0000016
3.5961608; 4.0311683; 0.3866213; -1.3079173; 0.0005575; 9.8433837; 0.0000019
4.1955210; 4.6099350; 0.5424626; -1.3076454; 0.0003423; 9.8433838; 0.0000019
4.7948811; 5.1886306; 0.6984121; -1.3075069; 0.0001196; 9.8433839; 0.0000007
5.3942412; 5.7673707; 0.8544473; -1.3073580; 0.0003860; 9.8433840; 0.0000007
5.9936014; 6.3459881; 1.0105931; -1.3070441; 0.0006616; 9.8433840; -0.0000018
6.5929615; 6.9246653; 1.1669633; -1.3067524; 0.0002976; 9.8433839; -0.0000019
7.1923216; 7.5031772; 1.3233995; -1.3066875; -0.0000811; 9.8433838; 0.0000001
7.7916818; 8.0818398; 1.4798850; -1.3066576; 0.0001978; 9.8433838; 0.0000002
8.3910419; 8.6603149; 1.6363935; -1.3064502; 0.0004942; 9.8433838; 0.0000014
8.9904021; 9.2390095; 1.7929701; -1.3069351; -0.0021951; 9.8433839; 0.0000015
9.5897622; 9.8176379; 1.9487120; -1.3090835; -0.0049773; 9.8433840; -0.0004154
10.1891223; 10.3968694; 2.1028630; -1.3124122; -0.0060808; 9.8433587; -0.0004276
10.7884825; 10.9765856; 2.2548830; -1.3163696; -0.0071232; 9.8433326; 0.0001789
11.3878426; 11.5566377; 2.4044527; -1.3204267; -0.0063714; 9.8433435; 0.0001959
11.9872027; 12.1378834; 2.5519657; -1.3240035; -0.0055561; 9.8433555; 0.0001076
12.5865629; 12.7186576; 2.6980280; -1.3234613; 0.0076950; 9.8433620; 0.0001050
13.1859230; 13.2997072; 2.8470107; -1.3147908; 0.0211911; 9.8433684; -0.9603362
13.7852832; 13.8778523; 3.0033811; -1.2966592; 0.0395100; 9.7847191; -0.9893713
14.3846433; 14.4529409; 3.1736346; -1.2674447; 0.0578668; 9.7239266; -3.2216022
14.9840034; 15.0211955; 3.3620624; -1.2346349; 0.0504939; 9.5232845; -3.2665958
15.5833636; 15.5846779; 3.5680353; -1.2069201; 0.0419232; 9.3154288; -3.4309615
16.1827237; 16.1414007; 3.7883105; -1.1805410; 0.0471543; 9.0919992; -3.3652276
16.7820838; 16.6927768; 4.0246995; -1.1503895; 0.0533376; 8.8673831; -3.3262517
17.3814440; 17.2351699; 4.2778720; -1.1175298; 0.0561119; 8.6396318; -3.2447006
17.9808041; 17.7700113; 4.5497818; -1.0831455; 0.0584917; 8.4115248; -3.1336211
18.5801642; 18.2936362; 4.8396283; -1.0468519; 0.0631043; 8.1851949; -3.0441778
19.1795244; 18.8072138; 5.1498393; -1.0075113; 0.0679957; 7.9591643; -2.8664663
19.7788845; 19.3064611; 5.4797424; -0.9660526; 0.0700084; 7.7402975; -2.7640502
20.3782447; 19.7927203; 5.8312226; -0.9236446; 0.0713428; 7.5232229; -2.5319889
20.9776048; 20.2625054; 6.2021921; -0.8815102; 0.0682191; 7.3187251; -2.4060968
21.5769649; 20.7176779; 6.5928579; -0.8419774; 0.0636315; 7.1189535; -2.1161578
22.1763251; 21.1608505; 7.0040443; -0.8030652; 0.0688787; 6.9385026; -1.9359593
22.7756852; 21.5832162; 7.4301934; -0.7571430; 0.0856621; 6.7692056; -1.6420325
23.3750453; 21.9881421; 7.8836821; -0.6988765; 0.1034157; 6.6222207; -1.4126994
23.9744055; 22.3568274; 8.3526234; -0.6315997; 0.1244118; 6.4931022; -1.0230660
24.5737656; 22.6940105; 8.8545928; -0.5501471; 0.1379597; 6.3979689; -0.8064908
25.1731258; 22.9791360; 9.3640419; -0.4710820; 0.1301626; 6.3219656; -0.1545868
25.7724859; 23.2222381; 9.9071421; -0.3592717; 0.2385841; 6.3072928; 0.2097600
26.3718460; 23.3866242; 10.4657720; -0.2115410; 0.2580535; 6.3271942; 0.6664566
26.9712062; 23.4677868; 11.0607693; -0.0621402; 0.2333382; 6.3900142; 1.1645129
27.5705663; 23.4673307; 11.6595068; 0.0528317; 0.1362502; 6.4983233; 1.4194978
28.1699264; 23.4150327; 12.2652866; 0.1124736; 0.0669755; 6.6279550; 1.8447937
28.7692866; 23.3361556; 12.8777524; 0.1387923; 0.0189038; 6.7927298; 2.2167924
29.3686467; 23.2524195; 13.4737232; 0.1352284; -0.0328072; 6.9855918; 2.5404153
29.9680068; 23.1811976; 14.0639549; 0.1030832; -0.0461131; 7.2002597; 2.9838827
30.5673670; 23.1240298; 14.6575118; 0.0960707; 0.0249109; 7.4445000; 3.1577028
31.1667271; 23.0592038; 15.2440164; 0.1293712; 0.0785274; 7.6945294; 3.3454218
31.7660873; 22.9660144; 15.8358041; 0.1861785; 0.1102979; 7.9508495; 3.1114117
