# 7931d1e8-2968-4b3f-8c97-1ce7bc2c1cf6
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.5671592; -0.5649175; -1.3077113; 0.0003436; 9.8433841; 0.0000009
0.2998996; 0.8567913; -0.4868963; -1.3076152; 0.0002975; 9.8433841; 0.0000009
0.5997993; 1.1463803; -0.4088590; -1.3075328; 0.0002515; 9.8433841; 0.0000009
0.8996989; 1.4359263; -0.3308099; -1.3074643; 0.0002054; 9.8433841; 0.0000009
1.1995986; 1.7254296; -0.2527531; -1.3074097; 0.0001593; 9.8433842; 0.0000004
1.4994982; 2.0150331; -0.1746540; -1.3073646; 0.0001410; 9.8433842; 0.0000004
1.7993979; 2.3045984; -0.0965521; -1.3073251; 0.0001226; 9.8433842; 0.0000004
2.0992975; 2.5941302; -0.0184479; -1.3072911; 0.0001042; 9.8433842; 0.0000004
2.3991972; 2.8836334; 0.0596584; -1.3072626; 0.0000859; 9.8433842; 0.0000002
2.6990968; 3.1732045; 0.1377913; -1.3072367; 0.0000870; 9.8433842; 0.0000002
2.9989965; 3.4627539; 0.2159264; -1.3072104; 0.0000880; 9.8433842; 0.0000002
3.2988961; 3.7522847; 0.2940647; -1.3071839; 0.0000891; 9.8433842; 0.0000002
3.5987958; 4.0418000; 0.3722072; -1.3071570; 0.0000901; 9.8433842; 0.0000001
3.8986954; 4.3313446; 0.4503658; -1.3071311; 0.0000827; 9.8433843; 0.0000001
4.1985951; 4.6208796; 0.5285295; -1.3071074; 0.0000753; 9.8433843; 0.0000001
4.4984947; 4.9104086; 0.6066986; -1.3070859; 0.0000679; 9.8433843; 0.0000001
4.7983944; 5.1999347; 0.6848733; -1.3070667; 0.0000610; 9.8433843; 0.0000000
5.0982940; 5.4894514; 0.7630517; -1.3070430; 0.0000971; 9.8433843; 0.0000000
5.3981937; 5.7789719; 0.8412402; -1.3070085; 0.0001331; 9.8433843; 0.0000000
5.6980933; 6.0684994; 0.9194430; -1.3069631; 0.0001692; 9.8433843; -0.0000000
5.9979930; 6.3580355; 0.9976639; -1.3069070; 0.0002024; 9.8433843; -0.0000001
6.2978926; 6.6475200; 1.0758875; -1.3068638; 0.0000860; 9.8433843; -0.0000001
6.5977923; 6.9370224; 1.1541239; -1.3068554; -0.0000303; 9.8433843; -0.0000001
6.8976919; 7.2265475; 1.2323636; -1.3068819; -0.0001466; 9.8433842; -0.0000001
7.1975916; 7.5160974; 1.3105964; -1.3069433; -0.0002514; 9.8433842; -0.0000002
7.4974912; 7.8055555; 1.3887883; -1.3069598; 0.0001414; 9.8433842; -0.0000002
7.7973909; 8.0950470; 1.4670024; -1.3068585; 0.0005339; 9.8433842; -0.0000002
8.0972905; 8.3845728; 1.5452755; -1.3066396; 0.0009261; 9.8433842; -0.0000010
8.3971902; 8.6741293; 1.6236433; -1.3063031; 0.0012884; 9.8433842; -0.0000345
8.6970898; 8.9635349; 1.7020732; -1.3060359; 0.0004942; 9.8433831; -0.0000345
8.9969895; 9.2529771; 1.7805590; -1.3060067; -0.0002992; 9.8433821; -0.0000345
9.2968891; 9.5424559; 1.8590268; -1.3062154; -0.0010923; 9.8433810; -0.0000343
9.5967888; 9.8319655; 1.9374012; -1.3066620; -0.0018974; 9.8433800; -0.0000277
9.8966884; 10.1212844; 2.0155403; -1.3074226; -0.0031779; 9.8433792; -0.0000277
10.1965881; 10.4107598; 2.0934260; -1.3085665; -0.0044528; 9.8433783; -0.0000277
10.4964877; 10.7005086; 2.1709706; -1.3100922; -0.0057185; 9.8433775; -0.0000266
10.7963874; 10.9906220; 2.2480796; -1.3119972; -0.0069439; 9.8433767; 0.0000266
11.0962870; 11.2799905; 2.3243662; -1.3140559; -0.0068143; 9.8433775; 0.0000266
11.3961867; 11.5699018; 2.4001636; -1.3160780; -0.0066814; 9.8433783; 0.0000266
11.6960863; 11.8603979; 2.4754924; -1.3180628; -0.0065452; 9.8433791; 0.0000266
11.9959860; 12.1515206; 2.5503732; -1.3200094; -0.0064061; 9.8433799; -0.0000053
12.2958856; 12.4414516; 2.6244643; -1.3208335; 0.0008939; 9.8433797; -0.0000054
12.5957853; 12.7318170; 2.6987490; -1.3194773; 0.0081459; 9.8433796; -0.0000054
12.8956849; 13.0223948; 2.7738447; -1.3159496; 0.0153553; 9.8433794; -0.0000054
13.1955846; 13.3129610; 2.8503685; -1.3102563; 0.0225341; 9.8433792; -0.7843670
13.4954842; 13.6020917; 2.9286311; -1.3021966; 0.0313556; 9.8194527; -0.8216857
13.7953839; 13.8906723; 3.0096622; -1.2914669; 0.0402313; 9.7943252; -0.8195803
14.0952835; 14.1785044; 3.0942423; -1.2780701; 0.0490702; 9.7691976; -0.8174750
14.3951832; 14.4653300; 3.1831357; -1.2620144; 0.0578518; 9.7440700; -2.9677074
14.6950828; 14.7499926; 3.2766778; -1.2447046; 0.0565723; 9.6522988; -3.2074752
14.9949825; 15.0331835; 3.3750872; -1.2281158; 0.0541053; 9.5521218; -3.1740126
15.2948821; 15.3149393; 3.4781521; -1.2122433; 0.0517188; 9.4519448; -3.1405500
15.5947818; 15.5951800; 3.5856233; -1.1970684; 0.0494116; 9.3517678; -3.3313141
15.8946814; 15.8737933; 3.6972818; -1.1820734; 0.0513038; 9.2443194; -3.3451225
16.1945811; 16.1505803; 3.8131871; -1.1662374; 0.0542569; 9.1351540; -3.3053856
16.4944807; 16.4252828; 3.9335119; -1.1495115; 0.0573010; 9.0259886; -3.2656487
16.7943804; 16.6976385; 4.0584282; -1.1318744; 0.0604371; 8.9168233; -3.2677526
17.0942800; 16.9680949; 4.1884348; -1.1135330; 0.0611237; 8.8062331; -3.2422772
17.3941797; 17.2361018; 4.3233685; -1.0952320; 0.0608522; 8.6951150; -3.2011061
17.6940793; 17.5013839; 4.4630563; -1.0770323; 0.0605486; 8.5839970; -3.1599349
17.9939790; 17.7639261; 4.6074462; -1.0589393; 0.0602147; 8.4728789; -3.0985397
18.2938786; 18.0238836; 4.7565982; -1.0407858; 0.0614573; 8.3624862; -3.0478386
18.5937783; 18.2811030; 4.9105464; -1.0220616; 0.0634531; 8.2524593; -3.0074720
18.8936779; 18.5354045; 5.0693948; -1.0027455; 0.0653755; 8.1424324; -2.9671054
