# 77d3677b-d007-4591-a5f8-3ad0feaa1bbb
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.5607140; -0.5458132; -1.3067989; -0.0000731; 9.8433839; -0.0000079
0.1998886; 0.7537150; -0.4936460; -1.3068228; -0.0001655; 9.8433838; -0.0000079
0.3997773; 0.9467034; -0.4414890; -1.3068651; -0.0002578; 9.8433836; -0.0000079
0.5996659; 1.1396797; -0.3893460; -1.3069259; -0.0003502; 9.8433834; -0.0000079
0.7995546; 1.3326446; -0.3372205; -1.3070051; -0.0004427; 9.8433833; -0.0000079
0.9994432; 1.5255988; -0.2851162; -1.3071028; -0.0005352; 9.8433831; -0.0000079
1.1993319; 1.7185430; -0.2330368; -1.3072190; -0.0006275; 9.8433830; 0.0000024
1.3992205; 1.9115633; -0.1809602; -1.3073169; -0.0003519; 9.8433830; 0.0000024
1.5991092; 2.1045727; -0.1289012; -1.3073597; -0.0000762; 9.8433831; 0.0000024
1.7989978; 2.2975694; -0.0768488; -1.3073474; 0.0001995; 9.8433831; 0.0000024
1.9988865; 2.4905521; -0.0247919; -1.3072800; 0.0004754; 9.8433832; 0.0000024
2.1987751; 2.6835192; 0.0272805; -1.3071574; 0.0007513; 9.8433832; 0.0000024
2.3986638; 2.8764692; 0.0793794; -1.3069796; 0.0010255; 9.8433833; 0.0000023
2.5985524; 3.0694514; 0.1315263; -1.3067924; 0.0008481; 9.8433833; 0.0000023
2.7984410; 3.2624176; 0.1837040; -1.3066406; 0.0006707; 9.8433834; 0.0000023
2.9983297; 3.4553708; 0.2359059; -1.3065243; 0.0004932; 9.8433834; 0.0000023
3.1982183; 3.6483138; 0.2881255; -1.3064434; 0.0003157; 9.8433834; 0.0000023
3.3981070; 3.8412493; 0.3403561; -1.3063981; 0.0001382; 9.8433835; 0.0000023
3.5979956; 4.0341804; 0.3925912; -1.3063882; -0.0000386; 9.8433835; 0.0000007
3.7978843; 4.2271220; 0.4448282; -1.3064051; -0.0001304; 9.8433835; 0.0000007
3.9977729; 4.4200638; 0.4970598; -1.3064403; -0.0002222; 9.8433836; 0.0000007
4.1976616; 4.6130080; 0.5492829; -1.3064939; -0.0003140; 9.8433836; 0.0000007
4.3975502; 4.8059564; 0.6014941; -1.3065659; -0.0004058; 9.8433836; 0.0000007
4.5974389; 4.9989111; 0.6536902; -1.3066562; -0.0004976; 9.8433836; 0.0000007
4.7973275; 5.1918738; 0.7058679; -1.3067648; -0.0005888; 9.8433836; 0.0000006
4.9972162; 5.3848210; 0.7580173; -1.3068873; -0.0006364; 9.8433836; 0.0000006
5.1971048; 5.5777803; 0.8101437; -1.3070192; -0.0006840; 9.8433836; 0.0000006
5.3969934; 5.7707534; 0.8622454; -1.3071607; -0.0007316; 9.8433837; 0.0000006
5.5968821; 5.9637420; 0.9143211; -1.3073117; -0.0007792; 9.8433837; 0.0000006
5.7967707; 6.1567479; 0.9663692; -1.3074722; -0.0008267; 9.8433837; 0.0000004
5.9966594; 6.3497714; 1.0183878; -1.3076422; -0.0008730; 9.8433837; -0.0000080
6.1965480; 6.5427505; 1.0703588; -1.3078150; -0.0008562; 9.8433835; -0.0000080
6.3964367; 6.7357508; 1.1223000; -1.3079844; -0.0008394; 9.8433834; -0.0000080
6.5963253; 6.9287727; 1.1742124; -1.3081505; -0.0008226; 9.8433832; -0.0000080
6.7962140; 7.1218169; 1.2260967; -1.3083133; -0.0008058; 9.8433830; -0.0000080
6.9961026; 7.3148838; 1.2779537; -1.3084727; -0.0007890; 9.8433829; -0.0000078
7.1959913; 7.5079717; 1.3297838; -1.3086288; -0.0007693; 9.8433827; 0.0000056
7.3958799; 7.7009766; 1.3815606; -1.3087670; -0.0006146; 9.8433828; 0.0000056
7.5957686; 7.8940069; 1.4333189; -1.3088744; -0.0004600; 9.8433829; 0.0000056
7.7956572; 8.0870641; 1.4850653; -1.3089509; -0.0003055; 9.8433830; 0.0000056
7.9955459; 8.2801496; 1.5368067; -1.3089965; -0.0001510; 9.8433832; 0.0000056
8.1954345; 8.4732650; 1.5885498; -1.3090113; 0.0000034; 9.8433833; 0.0000055
8.3953231; 8.6664086; 1.6403006; -1.3089952; 0.0001465; 9.8433834; 0.0000031
8.5952118; 8.8594326; 1.6920219; -1.3090057; -0.0002516; 9.8433834; 0.0000031
8.7951004; 9.0524880; 1.7437412; -1.3090958; -0.0006494; 9.8433835; 0.0000031
8.9949891; 9.2455734; 1.7954416; -1.3092653; -0.0010470; 9.8433836; 0.0000031
9.1948777; 9.4386875; 1.8471065; -1.3095143; -0.0014446; 9.8433836; 0.0000031
9.3947664; 9.6318290; 1.8987189; -1.3098429; -0.0018422; 9.8433837; 0.0000031
9.5946550; 9.8249934; 1.9502612; -1.3102509; -0.0022424; 9.8433838; 0.0000011
9.7945437; 10.0179884; 2.0016645; -1.3107561; -0.0028157; 9.8433838; 0.0000011
9.9944323; 10.2110409; 2.0529668; -1.3113756; -0.0033869; 9.8433838; 0.0000011
10.1943210; 10.4041832; 2.1041532; -1.3121092; -0.0039554; 9.8433838; 0.0000011
10.3942096; 10.5974479; 2.1552086; -1.3129564; -0.0045206; 9.8433839; 0.0000011
10.5940983; 10.7908674; 2.2061178; -1.3139168; -0.0050817; 9.8433839; 0.0000010
10.7939869; 10.9844722; 2.2568654; -1.3149896; -0.0056381; 9.8433839; -0.0000231
10.9938755; 11.1774122; 2.3072062; -1.3161750; -0.0062512; 9.8433834; -0.0000231
11.1937642; 11.3705873; 2.3573511; -1.3174835; -0.0068601; 9.8433830; -0.0000231
11.3936528; 11.5640151; 2.4072790; -1.3189143; -0.0074644; 9.8433825; -0.0000231
11.5935415; 11.7577130; 2.4569684; -1.3204670; -0.0080639; 9.8433820; -0.0000231
11.7934301; 11.9516986; 2.5063982; -1.3221409; -0.0086582; 9.8433815; -0.0000231
11.9933188; 12.1459892; 2.5555471; -1.3239352; -0.0092470; 9.8433811; 0.0000043
12.1932074; 12.3394344; 2.6041375; -1.3252976; -0.0042091; 9.8433812; 0.0000053
12.3930961; 12.5330850; 2.6526066; -1.3256156; 0.0010179; 9.8433813; 0.0000053
12.5929847; 12.7269140; 2.7011621; -1.3248920; 0.0062200; 9.8433814; 0.0000053
12.7928734; 12.9208497; 2.7500007; -1.3231295; 0.0114024; 9.8433815; 0.0000053
12.9927620; 13.1148204; 2.7993190; -1.3203300; 0.0165697; 9.8433816; 0.0000053
13.1926507; 13.3087543; 2.8493134; -1.3164950; 0.0217264; 9.8433817; -0.8311437
13.3925393; 13.5019259; 2.9000114; -1.3115731; 0.0276522; 9.8264892; -0.9368927
13.5924279; 13.6948290; 2.9517794; -1.3054490; 0.0336692; 9.8074126; -0.9350721
13.7923166; 13.8874713; 3.0048691; -1.2981207; 0.0396765; 9.7883360; -0.9332515
13.9922052; 14.0797760; 3.0595101; -1.2895891; 0.0456719; 9.7692594; -0.9314309
14.1920939; 14.2716660; 3.1159323; -1.2798558; 0.0516503; 9.7501828; -0.9296103
14.3919825; 14.4630646; 3.1743653; -1.2689232; 0.0576041; 9.7311062; -2.7931980
14.5918712; 14.6534821; 3.2348795; -1.2572857; 0.0576170; 9.6735604; -3.2825632
14.7917598; 14.8431816; 3.2975784; -1.2459320; 0.0560441; 9.6054920; -3.2593838
14.9916485; 15.0322491; 3.3624262; -1.2348839; 0.0545092; 9.5374236; -3.2362043
15.1915371; 15.2206563; 3.4293509; -1.2241356; 0.0530121; 9.4693552; -3.2130249
15.3914258; 15.4083751; 3.4982807; -1.2136811; 0.0515525; 9.4012868; -3.1898455
15.5913144; 15.5953772; 3.5691437; -1.2035145; 0.0501297; 9.3332184; -3.3467605
15.7912031; 15.7817827; 3.6419339; -1.1934706; 0.0510105; 9.2612637; -3.4096879
15.9910917; 15.9674534; 3.7166315; -1.1830573; 0.0530609; 9.1873767; -3.3823762
16.1909803; 16.1522336; 3.7932602; -1.1722342; 0.0551559; 9.1134896; -3.3550645
16.3908690; 16.3360429; 3.8718735; -1.1609945; 0.0572961; 9.0396026; -3.3277528
16.5907576; 16.5188006; 3.9525248; -1.1493313; 0.0594822; 8.9657155; -3.3004411
16.7906463; 16.7004262; 4.0352677; -1.1372375; 0.0617143; 8.8918284; -3.3055330
16.9905349; 16.8813137; 4.1203792; -1.1247522; 0.0625688; 8.8172068; -3.3031245
17.1904236; 17.0613231; 4.2078440; -1.1122582; 0.0622824; 8.7420033; -3.2748309
17.3903122; 17.2400845; 4.2974723; -1.0998345; 0.0619661; 8.6667998; -3.2465373
17.5902009; 17.4176055; 4.3892478; -1.0874850; 0.0616210; 8.5915963; -3.2182437
17.7900895; 17.5938937; 4.4831541; -1.0752136; 0.0612480; 8.5163928; -3.1899501
17.9899782; 17.7689567; 4.5791747; -1.0630238; 0.0608481; 8.4411893; -3.1444047
18.1898668; 17.9428163; 4.6773027; -1.0508768; 0.0612882; 8.3663980; -3.0976504
18.3897555; 18.1154728; 4.7775587; -1.0385051; 0.0626332; 8.2920591; -3.0700037
18.5896441; 18.2869010; 4.8799892; -1.0258677; 0.0639214; 8.2177203; -3.0423570
18.7895327; 18.4570911; 4.9846514; -1.0129727; 0.0651479; 8.1433815; -3.0147103
18.9894214; 18.6260334; 5.0916024; -0.9998291; 0.0663080; 8.0690426; -2.9870636
19.1893100; 18.7937182; 5.2008995; -0.9864466; 0.0673968; 7.9947038; -2.9087101
19.3891987; 18.9595594; 5.3122066; -0.9729101; 0.0677219; 7.9216446; -2.8055120
19.5890873; 19.1232727; 5.4253176; -0.9595106; 0.0669473; 7.8505333; -2.7802138
19.7889760; 19.2857572; 5.5408102; -0.9462452; 0.0661336; 7.7794220; -2.7549156
19.9888646; 19.4470290; 5.6586748; -0.9331191; 0.0652833; 7.7083107; -2.7296175
20.1887533; 19.6071039; 5.7789015; -0.9201376; 0.0643993; 7.6371994; -2.7043193
20.3886419; 19.7659979; 5.9014808; -0.9073051; 0.0634840; 7.5660881; -2.6215933
20.5885306; 19.9230247; 6.0258389; -0.8947063; 0.0616274; 7.4965082; -2.4373967
20.7884192; 20.0769858; 6.1508654; -0.8829232; 0.0571978; 7.4312327; -2.4160803
20.9883079; 20.2299792; 6.2780175; -0.8719842; 0.0527839; 7.3659572; -2.3947640
21.1881965; 20.3821211; 6.4071912; -0.8618879; 0.0483988; 7.3006817; -2.3734477
21.3880852; 20.5335278; 6.5382828; -0.8526310; 0.0440537; 7.2354062; -2.3521314
21.5879738; 20.6843155; 6.6711884; -0.8442091; 0.0397579; 7.1701307; -2.3226189
21.7878624; 20.8345947; 6.8057990; -0.8366162; 0.0357547; 7.1050858; -1.9416742
21.9877511; 20.9840978; 6.9417652; -0.8287240; 0.0424264; 7.0502487; -1.9266303
22.1876397; 21.1324959; 7.0790726; -0.8194270; 0.0496539; 6.9954116; -1.9115864
22.3875284; 21.2790874; 7.2174649; -0.8086261; 0.0576527; 6.9405745; -1.8965425
22.5874170; 21.4231707; 7.3566859; -0.7961920; 0.0666721; 6.8857374; -1.8814986
22.7873057; 21.5640444; 7.4964792; -0.7819606; 0.0770102; 6.8309004; -1.8664547
22.9871943; 21.7010067; 7.6365887; -0.7657276; 0.0890333; 6.7760633; -1.4911497
23.1870830; 21.8430890; 7.7872373; -0.7462863; 0.0976426; 6.7319318; -1.3752002
23.3869716; 21.9821936; 7.9408437; -0.7252193; 0.1059085; 6.6909739; -1.3668078
23.5868603; 22.1150447; 8.0941098; -0.7027900; 0.1155312; 6.6500160; -1.3584154
23.7867489; 22.2413541; 8.2468426; -0.6788126; 0.1267549; 6.6090582; -1.3500230
23.9866376; 22.3608334; 8.3988491; -0.6530751; 0.1398753; 6.5681003; -1.2996817
24.1865262; 22.4744349; 8.5516549; -0.6250181; 0.1538617; 6.5284269; -0.7585319
