# 4851db12-ba9b-4d58-8b0d-c228a5fda287
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.5914949; -0.6830584; -1.3082385; -0.0001788; 9.8433845; 0.0000004
0.9977056; 1.5547747; -0.4242568; -1.3084155; -0.0001760; 9.8433846; 0.0000004
1.9954111; 2.5186114; -0.1654870; -1.3085897; -0.0001732; 9.8433846; 0.0000009
2.9931167; 3.4821562; 0.0931852; -1.3082969; 0.0007637; 9.8433847; 0.0000009
3.9908222; 4.4455892; 0.3526145; -1.3070656; 0.0017048; 9.8433848; -0.0000086
4.9885278; 5.4088611; 0.6131842; -1.3065770; -0.0007570; 9.8433839; -0.0000087
5.9862333; 6.3719740; 0.8729302; -1.3085773; -0.0032549; 9.8433830; -0.0000921
6.9839389; 7.3362988; 1.1306920; -1.3099931; 0.0005056; 9.8433737; -0.0000932
7.9816444; 8.2995871; 1.3886983; -1.3075638; 0.0043717; 9.8433642; -0.0004352
8.9793500; 9.2631994; 1.6499444; -1.3052660; 0.0000979; 9.8433201; -0.0004407
9.9770555; 10.2254507; 1.9109213; -1.3073759; -0.0043368; 9.8432755; -0.0015735
10.9747611; 11.1893307; 2.1677003; -1.3144153; -0.0097846; 9.8431160; -0.0015880
11.9724666; 12.1560422; 2.4151594; -1.3268736; -0.0151612; 9.8429550; -0.0000922
12.9701722; 13.1232782; 2.6525620; -1.3289509; 0.0111150; 9.8429457; -0.0000827
13.9678777; 14.0911877; 2.9015207; -1.3048072; 0.0370586; 9.8429373; -0.0147245
14.9655833; 15.0462554; 3.1824080; -1.2631759; 0.0464430; 9.8414446; -0.0148450
15.9632888; 15.9911804; 3.5085861; -1.2121078; 0.0557010; 9.8399396; -0.0052850
16.9609944; 16.9111268; 3.8825175; -1.1578026; 0.0532093; 9.8394037; -0.0050116
17.9586999; 17.8176498; 4.3082687; -1.1062272; 0.0496782; 9.8388955; -1.4682680
18.9564055; 18.6969036; 4.7767457; -1.0557671; 0.0523204; 9.6888630; -1.5552443
19.9541110; 19.5532010; 5.2922883; -1.0011220; 0.0573523; 9.5273666; -4.4836140
20.9518166; 20.3721746; 5.8446711; -0.9614191; 0.0154763; 9.0456654; -4.7394390
21.9495221; 21.1936180; 6.4173257; -0.9705857; -0.0323611; 8.5068756; -5.2334960
22.9472277; 22.0324836; 6.9774049; -0.9765635; 0.0527518; 7.8691776; -5.0758747
23.9449332; 22.8332170; 7.5770844; -0.8558521; 0.1946192; 7.1969090; -6.3528035
24.9426388; 23.5014933; 8.3160119; -0.6016934; 0.2772508; 6.2545220; -6.5621141
25.9403443; 23.9416792; 9.2048296; -0.3136233; 0.3033297; 5.1014635; -0.4162353
