# 056f8b8a-7a2e-4686-a2df-4ac4e4122fa8
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.6025211; -0.7016131; -1.3083210; 0.0008348; 9.8433835; 0.0000026
0.2999034; 0.8921799; -0.6237530; -1.3080944; 0.0006764; 9.8433836; 0.0000026
0.5998067; 1.1818018; -0.5458397; -1.3079152; 0.0005180; 9.8433837; 0.0000026
0.8997101; 1.4713862; -0.4678883; -1.3077837; 0.0003596; 9.8433838; 0.0000026
1.1996134; 1.7609321; -0.3899138; -1.3076996; 0.0002011; 9.8433839; 0.0000011
1.4995168; 2.0505590; -0.3118950; -1.3076261; 0.0002894; 9.8433839; 0.0000011
1.7994201; 2.3401469; -0.2338596; -1.3075260; 0.0003783; 9.8433839; 0.0000011
2.0993235; 2.6296959; -0.1557995; -1.3073992; 0.0004671; 9.8433840; 0.0000011
2.3992268; 2.9192062; -0.0777063; -1.3072458; 0.0005561; 9.8433840; 0.0000003
2.6991302; 3.2087853; 0.0004519; -1.3071171; 0.0003016; 9.8433840; 0.0000003
2.9990336; 3.4983326; 0.0786296; -1.3070649; 0.0000463; 9.8433840; 0.0000003
3.2989369; 3.7878545; 0.1568048; -1.3070893; -0.0002091; 9.8433840; 0.0000003
3.5988403; 4.0773577; 0.2349555; -1.3071903; -0.0004646; 9.8433840; -0.0000096
3.8987436; 4.3669391; 0.3130873; -1.3073364; -0.0005094; 9.8433837; -0.0000096
4.1986470; 4.6565105; 0.3911689; -1.3074958; -0.0005540; 9.8433834; -0.0000096
4.4985503; 4.9460736; 0.4691966; -1.3076687; -0.0005986; 9.8433832; -0.0000095
4.7984537; 5.2356306; 0.5471670; -1.3078549; -0.0006429; 9.8433829; 0.0000033
5.0983571; 5.5252577; 0.6251008; -1.3080112; -0.0003995; 9.8433830; 0.0000033
5.3982604; 5.8148763; 0.7029951; -1.3080945; -0.0001562; 9.8433831; 0.0000033
5.6981638; 6.1044825; 0.7808716; -1.3081048; 0.0000873; 9.8433832; 0.0000033
5.9980671; 6.3940725; 0.8587518; -1.3080422; 0.0003311; 9.8433833; 0.0000036
6.2979705; 6.6836969; 0.9366730; -1.3078972; 0.0006356; 9.8433834; 0.0000036
6.5978738; 6.9732936; 1.0146460; -1.3076609; 0.0009402; 9.8433835; 0.0000036
6.8977772; 7.2628552; 1.0926971; -1.3073332; 0.0012449; 9.8433836; 0.0000033
7.1976805; 7.5523751; 1.1708529; -1.3069142; 0.0015427; 9.8433837; -0.0000355
7.4975839; 7.8418787; 1.2491366; -1.3065197; 0.0010885; 9.8433826; -0.0000355
7.7974873; 8.1313525; 1.3275136; -1.3062614; 0.0006341; 9.8433815; -0.0000355
8.0973906; 8.4208158; 1.4059469; -1.3061393; 0.0001798; 9.8433805; -0.0000349
8.3972940; 8.7102877; 1.4843992; -1.3061535; -0.0002647; 9.8433794; 0.0000050
8.6971973; 8.9997795; 1.5628429; -1.3061941; -0.0000061; 9.8433795; 0.0000050
8.9971007; 9.2892687; 1.6412853; -1.3061572; 0.0002525; 9.8433797; 0.0000050
9.2970040; 9.5787258; 1.7197426; -1.3060427; 0.0005112; 9.8433798; 0.0000052
9.5969074; 9.8681203; 1.7982305; -1.3058508; 0.0006655; 9.8433800; 0.0000155
9.8968107; 10.1574409; 1.8766770; -1.3064640; -0.0047565; 9.8433805; 0.0000155
10.1967141; 10.4468970; 1.9547173; -1.3087019; -0.0101700; 9.8433810; 0.0000155
10.4966175; 10.7367109; 2.0319070; -1.3125610; -0.0155583; 9.8433814; -0.0000438
10.7965208; 11.0270756; 2.1077940; -1.3180329; -0.0206333; 9.8433801; -0.0025873
11.0964242; 11.3169241; 2.1818057; -1.3232249; -0.0140834; 9.8433013; -0.0025873
11.3963275; 11.6075126; 2.2547028; -1.3264662; -0.0075629; 9.8432224; -0.0025873
11.6962309; 11.8987915; 2.3270712; -1.3277631; -0.0010913; 9.8431436; -0.0027638
11.9961342; 12.1906898; 2.3994916; -1.3271259; 0.0053946; 9.8430594; -0.0218569
12.2960376; 12.4807787; 2.4720925; -1.3232450; 0.0205309; 9.8423934; -0.0218554
