# b7757a95-afde-4bd6-9fac-5ce9c0502c55
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.5637954; -0.5724500; -1.3072975; 0.0000070; 9.8433847; 0.0000003
0.5990307; 1.1420964; -0.4164551; -1.3073685; -0.0002441; 9.8433848; 0.0000003
1.1980614; 1.7204691; -0.2605316; -1.3075900; -0.0004952; 9.8433848; 0.0000003
1.7970921; 2.2989379; -0.1047663; -1.3079618; -0.0007462; 9.8433848; -0.0000004
2.3961229; 2.8774296; 0.0507462; -1.3083515; -0.0003353; 9.8433848; -0.0000008
2.9951536; 3.4559461; 0.2061430; -1.3083310; 0.0004037; 9.8433847; -0.0000008
3.5941843; 4.0344483; 0.3616860; -1.3078678; 0.0011427; 9.8433847; -0.0000057
4.1932150; 4.6128364; 0.5176181; -1.3070298; 0.0012062; 9.8433843; -0.0000155
4.7922457; 5.1910930; 0.6739267; -1.3066885; -0.0000666; 9.8433834; -0.0000155
5.3912764; 5.7693731; 0.8302168; -1.3071096; -0.0013393; 9.8433824; -0.0000157
5.9903072; 6.3478115; 0.9860518; -1.3082930; -0.0026016; 9.8433815; -0.0000713
6.5893379; 6.9264599; 1.1411785; -1.3092466; -0.0005821; 9.8433772; -0.0000713
7.1883686; 7.5051487; 1.2960998; -1.3089905; 0.0014373; 9.8433728; -0.0000713
7.7873993; 8.0836265; 1.4514985; -1.3075244; 0.0034587; 9.8433685; -0.0002758
8.3864300; 8.6618426; 1.6080225; -1.3054925; 0.0022628; 9.8433517; -0.0003764
8.9854607; 9.2398335; 1.7653159; -1.3049707; -0.0005210; 9.8433288; -0.0003764
9.5844915; 9.8178594; 1.9224251; -1.3061166; -0.0033048; 9.8433059; -0.0007795
10.1835222; 10.3959836; 2.0783322; -1.3089416; -0.0062209; 9.8432584; -0.0015666
10.7825529; 10.9743706; 2.2319955; -1.3136129; -0.0093857; 9.8431631; -0.0015665
11.3815836; 11.5541507; 2.3825468; -1.3201749; -0.0125158; 9.8430678; -0.0015622
11.9806143; 12.1359002; 2.5289608; -1.3286097; -0.0155502; 9.8429727; 0.0002204
12.5796450; 12.7166043; 2.6704983; -1.3333084; -0.0002039; 9.8429861; 0.0002204
13.1786757; 13.2984481; 2.8122366; -1.3288713; 0.0149949; 9.8429995; 0.0002204
13.7777065; 13.8800431; 2.9594626; -1.3153482; 0.0300579; 9.8430129; -0.0098441
14.3767372; 14.4577168; 3.1166701; -1.2939546; 0.0394608; 9.8424138; -0.0153268
14.9757679; 15.0313097; 3.2873920; -1.2684282; 0.0458412; 9.8414809; -0.0153254
15.5747986; 15.6009536; 3.4741105; -1.2390392; 0.0521957; 9.8405481; -0.4543395
16.1738293; 16.1645347; 3.6785692; -1.2060169; 0.0565552; 9.8128518; -1.6216833
16.7728600; 16.7194610; 3.9012518; -1.1724253; 0.0558153; 9.7133508; -1.6051558
17.3718908; 17.2677339; 4.1428318; -1.1391779; 0.0551823; 9.6138498; -1.5886284
17.9709215; 17.8086914; 4.4028941; -1.1062177; 0.0546578; 9.5143488; -5.1833110
18.5699522; 18.3389797; 4.6788028; -1.0775112; 0.0395318; 9.1822061; -5.4954517
19.1689829; 18.8632943; 4.9675585; -1.0589822; 0.0224176; 8.8164063; -5.2720750
19.7680136; 19.3848682; 5.2640087; -1.0506169; 0.0055093; 8.4506065; -5.3984688
20.3670443; 19.9031426; 5.5613926; -1.0472064; 0.0267637; 8.0588494; -5.5427077
20.9660751; 20.4136417; 5.8661289; -1.0114776; 0.0931048; 7.6357415; -5.2438578
21.5651058; 20.9091353; 6.2004454; -0.9367670; 0.1555924; 7.2126337; -4.9450080
22.1641365; 21.3782475; 6.5851228; -0.8260528; 0.2060102; 6.7895259; -7.1118441
22.7631672; 21.8019580; 7.0236145; -0.7151632; 0.1608632; 6.1300274; -6.4152345
23.3621979; 22.1815083; 7.5038812; -0.6247883; 0.1376104; 5.4673019; -5.6820417
23.9612286; 22.5092795; 7.9989819; -0.5451756; 0.1337505; 4.8045765; -0.4231777
24.5602593; 22.8034364; 8.5343792; -0.4555322; 0.1737056; 4.7515221; 5.9177267
25.1592901; 23.0402236; 9.1038901; -0.3242873; 0.2532568; 5.4467204; 6.7245310
25.7583208; 23.1783067; 9.6546830; -0.1610189; 0.3152851; 6.1419186; 5.2088483
26.3573515; 23.2193558; 10.2079770; 0.0055538; 0.2428225; 6.6305116; 4.0557543
26.9563822; 23.1844154; 10.7853020; 0.1003842; 0.0890939; 6.9873262; 4.2682921
27.5554129; 23.1122714; 11.4117207; 0.1168745; -0.0258584; 7.3441407; 4.4544372
28.1544436; 23.0497546; 11.9963166; 0.0969358; -0.0277347; 7.6989020; 4.6580857
28.7534744; 22.9959989; 12.5935424; 0.0835929; -0.0176959; 8.0531836; 4.8676165
29.3525051; 22.9475522; 13.2064533; 0.0748296; -0.0111854; 8.4074651; 3.3412356
29.9515358; 22.9033322; 13.8193337; 0.0703289; 0.0011124; 8.6422494; 0.1061124
30.5505665; 22.8587807; 14.4251437; 0.0793286; 0.0291414; 8.6496014; 0.1062026
31.1495972; 22.8047762; 15.0174321; 0.1054943; 0.0590193; 8.6569533; 0.1062928
31.7486279; 22.7309870; 15.6011538; 0.1488260; 0.0878162; 8.6643053; -0.3881681
32.3476587; 22.6271076; 16.1894769; 0.2000816; 0.0826228; 8.6374265; -0.4057445
32.9466894; 22.4939388; 16.7734327; 0.2477372; 0.0765650; 8.6092410; -0.4044183
33.5457201; 22.3338883; 17.3514511; 0.2919568; 0.0709593; 8.5810554; -1.2348367
34.1447508; 22.1501667; 17.9195103; 0.3336234; 0.0702261; 8.4944159; -1.6896818
34.7437815; 21.9429812; 18.4789090; 0.3759034; 0.0713644; 8.3744110; -1.6656410
35.3428122; 21.7108423; 19.0320435; 0.4188285; 0.0715839; 8.2544060; -1.6025174
35.9418429; 21.4543787; 19.5763993; 0.4613965; 0.0668253; 8.1372787; -1.4820561
36.5408737; 21.1781430; 20.1070770; 0.4970869; 0.0528196; 8.0274349; -1.4619141
37.1399044; 20.8839794; 20.6309044; 0.5250326; 0.0404283; 7.9175910; -1.4417721
37.7389351; 20.5778539; 21.1462696; 0.5458162; 0.0290134; 7.8077472; -1.4009231
