# 03ebb006-975c-4e21-89a8-4cfa3a8f8fd0
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.5838215; -0.6329559; -1.3073882; 0.0003873; 9.8433841; 0.0000008
0.0999991; 0.6803838; -0.6069136; -1.3073503; 0.0003699; 9.8433841; 0.0000008
0.1999981; 0.7769433; -0.5808681; -1.3073142; 0.0003524; 9.8433841; 0.0000008
0.2999972; 0.8734999; -0.5548199; -1.3072798; 0.0003350; 9.8433841; 0.0000008
0.3999962; 0.9700535; -0.5287689; -1.3072472; 0.0003175; 9.8433841; 0.0000008
0.4999953; 1.0666040; -0.5027155; -1.3072163; 0.0003001; 9.8433841; 0.0000008
0.5999943; 1.1631512; -0.4766599; -1.3071872; 0.0002826; 9.8433841; 0.0000008
0.6999934; 1.2596951; -0.4506023; -1.3071598; 0.0002652; 9.8433841; 0.0000008
0.7999924; 1.3562356; -0.4245428; -1.3071341; 0.0002477; 9.8433841; 0.0000008
0.8999915; 1.4527725; -0.3984817; -1.3071103; 0.0002303; 9.8433842; 0.0000008
0.9999906; 1.5493057; -0.3724192; -1.3070881; 0.0002128; 9.8433842; 0.0000008
1.0999896; 1.6458353; -0.3463556; -1.3070677; 0.0001954; 9.8433842; 0.0000008
1.1999887; 1.7423609; -0.3202909; -1.3070490; 0.0001779; 9.8433842; 0.0000004
1.2999877; 1.8389190; -0.2942156; -1.3070316; 0.0001710; 9.8433842; 0.0000004
1.3999868; 1.9354734; -0.2681396; -1.3070148; 0.0001642; 9.8433842; 0.0000004
1.4999858; 2.0320239; -0.2420629; -1.3069987; 0.0001574; 9.8433842; 0.0000004
1.5999849; 2.1285708; -0.2159856; -1.3069833; 0.0001505; 9.8433842; 0.0000004
1.6999840; 2.2251141; -0.1899076; -1.3069686; 0.0001437; 9.8433842; 0.0000004
1.7999830; 2.3216539; -0.1638292; -1.3069546; 0.0001368; 9.8433842; 0.0000004
1.8999821; 2.4181904; -0.1377502; -1.3069413; 0.0001300; 9.8433842; 0.0000004
1.9999811; 2.5147236; -0.1116707; -1.3069286; 0.0001231; 9.8433842; 0.0000004
2.0999802; 2.6112536; -0.0855908; -1.3069167; 0.0001163; 9.8433842; 0.0000004
2.1999792; 2.7077805; -0.0595106; -1.3069054; 0.0001094; 9.8433842; 0.0000004
2.2999783; 2.8043044; -0.0334300; -1.3068948; 0.0001026; 9.8433842; 0.0000004
2.3999773; 2.9008255; -0.0073492; -1.3068849; 0.0000957; 9.8433842; 0.0000002
2.4999764; 2.9973756; 0.0187405; -1.3068753; 0.0000959; 9.8433842; 0.0000002
2.5999755; 3.0939229; 0.0448305; -1.3068657; 0.0000961; 9.8433842; 0.0000002
2.6999745; 3.1904674; 0.0709207; -1.3068561; 0.0000963; 9.8433842; 0.0000002
2.7999736; 3.2870093; 0.0970111; -1.3068464; 0.0000965; 9.8433842; 0.0000002
2.8999726; 3.3835484; 0.1231019; -1.3068367; 0.0000967; 9.8433842; 0.0000002
2.9999717; 3.4800849; 0.1491929; -1.3068271; 0.0000970; 9.8433842; 0.0000002
3.0999707; 3.5766187; 0.1752842; -1.3068174; 0.0000972; 9.8433842; 0.0000002
3.1999698; 3.6731499; 0.2013758; -1.3068076; 0.0000974; 9.8433842; 0.0000002
3.2999689; 3.7696785; 0.2274677; -1.3067979; 0.0000976; 9.8433842; 0.0000002
3.3999679; 3.8662045; 0.2535599; -1.3067881; 0.0000978; 9.8433842; 0.0000002
3.4999670; 3.9627279; 0.2796524; -1.3067783; 0.0000980; 9.8433842; 0.0000002
3.5999660; 4.0592490; 0.3057453; -1.3067685; 0.0000982; 9.8433842; 0.0000001
3.6999651; 4.1557941; 0.3318457; -1.3067588; 0.0000966; 9.8433842; 0.0000001
3.7999641; 4.2523368; 0.3579465; -1.3067492; 0.0000949; 9.8433842; 0.0000001
3.8999632; 4.3488771; 0.3840476; -1.3067398; 0.0000933; 9.8433842; 0.0000001
3.9999622; 4.4454149; 0.4101490; -1.3067306; 0.0000916; 9.8433843; 0.0000001
4.0999613; 4.5419504; 0.4362507; -1.3067215; 0.0000900; 9.8433843; 0.0000001
4.1999604; 4.6384836; 0.4623527; -1.3067126; 0.0000883; 9.8433843; 0.0000001
4.2999594; 4.7350145; 0.4884550; -1.3067038; 0.0000867; 9.8433843; 0.0000001
4.3999585; 4.8315432; 0.5145577; -1.3066952; 0.0000850; 9.8433843; 0.0000001
4.4999575; 4.9280697; 0.5406606; -1.3066868; 0.0000834; 9.8433843; 0.0000001
4.5999566; 5.0245940; 0.5667638; -1.3066785; 0.0000817; 9.8433843; 0.0000001
4.6999556; 5.1211163; 0.5928672; -1.3066705; 0.0000801; 9.8433843; 0.0000001
4.7999547; 5.2176369; 0.6189711; -1.3066625; 0.0000787; 9.8433843; -0.0000000
4.8999537; 5.3141762; 0.6450808; -1.3066541; 0.0000898; 9.8433843; -0.0000000
4.9999528; 5.4107135; 0.6711910; -1.3066446; 0.0001009; 9.8433843; -0.0000000
5.0999519; 5.5072488; 0.6973016; -1.3066339; 0.0001121; 9.8433843; -0.0000000
5.1999509; 5.6037823; 0.7234130; -1.3066221; 0.0001232; 9.8433843; -0.0000000
5.2999500; 5.7003139; 0.7495250; -1.3066093; 0.0001343; 9.8433843; -0.0000000
5.3999490; 5.7968436; 0.7756380; -1.3065953; 0.0001455; 9.8433843; -0.0000000
5.4999481; 5.8933715; 0.8017520; -1.3065802; 0.0001566; 9.8433843; -0.0000000
5.5999471; 5.9898977; 0.8278671; -1.3065640; 0.0001678; 9.8433843; -0.0000000
5.6999462; 6.0864221; 0.8539835; -1.3065466; 0.0001789; 9.8433843; -0.0000000
5.7999453; 6.1829448; 0.8801013; -1.3065282; 0.0001900; 9.8433843; -0.0000000
5.8999443; 6.2794658; 0.9062206; -1.3065086; 0.0002012; 9.8433843; -0.0000000
5.9999434; 6.3759856; 0.9323416; -1.3064879; 0.0002110; 9.8433843; -0.0000001
6.0999424; 6.4725178; 0.9584681; -1.3064684; 0.0001798; 9.8433843; -0.0000001
6.1999415; 6.5690484; 0.9845961; -1.3064520; 0.0001485; 9.8433843; -0.0000001
6.2999405; 6.6655775; 1.0107252; -1.3064387; 0.0001173; 9.8433842; -0.0000001
6.3999396; 6.7621053; 1.0368552; -1.3064285; 0.0000861; 9.8433842; -0.0000001
6.4999386; 6.8586317; 1.0629856; -1.3064215; 0.0000548; 9.8433842; -0.0000001
6.5999377; 6.9551569; 1.0891163; -1.3064176; 0.0000236; 9.8433842; -0.0000001
6.6999368; 7.0516810; 1.1152470; -1.3064168; -0.0000077; 9.8433842; -0.0000001
6.7999358; 7.1482039; 1.1413772; -1.3064191; -0.0000389; 9.8433842; -0.0000001
6.8999349; 7.2447258; 1.1675068; -1.3064246; -0.0000702; 9.8433842; -0.0000001
6.9999339; 7.3412468; 1.1936354; -1.3064331; -0.0001014; 9.8433842; -0.0000001
7.0999330; 7.4377668; 1.2197627; -1.3064448; -0.0001327; 9.8433842; -0.0000002
7.1999320; 7.5342863; 1.2458885; -1.3064597; -0.0001569; 9.8433842; -0.0000005
7.2999311; 7.6308108; 1.2720142; -1.3064691; -0.0000313; 9.8433842; -0.0000005
7.3999301; 7.7273345; 1.2981394; -1.3064659; 0.0000943; 9.8433842; -0.0000005
7.4999292; 7.8238574; 1.3242654; -1.3064502; 0.0002199; 9.8433842; -0.0000005
7.5999283; 7.9203796; 1.3503934; -1.3064219; 0.0003454; 9.8433842; -0.0000005
7.6999273; 8.0169011; 1.3765248; -1.3063811; 0.0004710; 9.8433842; -0.0000005
7.7999264; 8.1134218; 1.4026609; -1.3063277; 0.0005966; 9.8433842; -0.0000005
7.8999254; 8.2099417; 1.4288030; -1.3062618; 0.0007221; 9.8433842; -0.0000005
7.9999245; 8.3064609; 1.4549524; -1.3061833; 0.0008477; 9.8433842; -0.0000005
8.0999235; 8.4029794; 1.4811103; -1.3060923; 0.0009732; 9.8433842; -0.0000005
8.1999226; 8.4994971; 1.5072781; -1.3059887; 0.0010987; 9.8433842; -0.0000005
8.2999217; 8.5960140; 1.5334571; -1.3058725; 0.0012241; 9.8433842; -0.0000007
8.3999207; 8.6925300; 1.5596485; -1.3057440; 0.0012897; 9.8433842; -0.0000037
8.4999198; 8.7890431; 1.5858511; -1.3056585; 0.0004205; 9.8433841; -0.0000037
8.5999188; 8.8855568; 1.6120582; -1.3056599; -0.0004486; 9.8433841; -0.0000037
8.6999179; 8.9820725; 1.6382612; -1.3057482; -0.0013177; 9.8433841; -0.0000037
8.7999169; 9.0785915; 1.6644514; -1.3059235; -0.0021868; 9.8433840; -0.0000037
8.8999160; 9.1751151; 1.6906202; -1.3061856; -0.0030561; 9.8433840; -0.0000037
8.9999150; 9.2716447; 1.7167590; -1.3065347; -0.0039256; 9.8433840; -0.0000037
9.0999141; 9.3681816; 1.7428591; -1.3069708; -0.0047954; 9.8433839; -0.0000037
9.1999132; 9.4647270; 1.7689118; -1.3074938; -0.0056655; 9.8433839; -0.0000037
9.2999122; 9.5612824; 1.7949085; -1.3081039; -0.0065361; 9.8433838; -0.0000037
9.3999113; 9.6578491; 1.8208406; -1.3088009; -0.0074071; 9.8433838; -0.0000037
9.4999103; 9.7544283; 1.8466994; -1.3095851; -0.0082788; 9.8433838; -0.0001373
9.5999094; 9.8510210; 1.8724761; -1.3104564; -0.0091666; 9.8433824; -0.0017835
9.6999084; 9.9476238; 1.8981604; -1.3114267; -0.0102467; 9.8433643; -0.0017835
9.7999075; 10.0442483; 1.9237446; -1.3125048; -0.0113255; 9.8433461; -0.0017834
