# dd5030a7-5df4-4a54-8089-7f8551b3cfa6
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.7552173; 0.3986442; -1.6921892; 0.1892491; 3.2708820; 1.0439551
0.0997997; -0.6556241; 0.3874535; -1.6731797; 0.1900063; 3.3025811; 1.0540236
0.1995995; -0.5561321; 0.3781856; -1.6541794; 0.1901920; 3.3342802; 1.0640921
0.2993992; -0.4566946; 0.3708232; -1.6352298; 0.1898015; 3.3659793; 1.0741606
0.3991990; -0.3572645; 0.3653494; -1.6163723; 0.1888372; 3.3976784; 1.0669746
0.4989987; -0.2578123; 0.3617474; -1.5976517; 0.1871175; 3.4288753; 0.9081563
0.5987985; -0.1584394; 0.3599959; -1.5792562; 0.1829470; 3.4552067; 0.9151036
0.6985982; -0.0589183; 0.3600523; -1.5612817; 0.1781749; 3.4815381; 0.9220510
0.7983979; 0.0408118; 0.3618791; -1.5437701; 0.1728571; 3.5078695; 0.9289983
0.8981977; 0.1408117; 0.3654385; -1.5267600; 0.1670546; 3.5342009; 0.8969704
0.9979974; 0.2407276; 0.3706680; -1.5103586; 0.1601653; 3.5594397; 0.7221450
1.0977972; 0.3391127; 0.3773850; -1.4950700; 0.1498626; 3.5796300; 0.7262296
1.1975969; 0.4379470; 0.3856056; -1.4807284; 0.1393334; 3.5998202; 0.7303143
1.2973966; 0.5373036; 0.3952580; -1.4673512; 0.1286796; 3.6200105; 0.7343989
1.3971964; 0.6372556; 0.4062705; -1.4549495; 0.1179954; 3.6402008; 0.7086871
1.4969961; 0.7372717; 0.4184941; -1.4436028; 0.1062007; 3.6595786; 0.5368744
1.5967959; 0.8344461; 0.4314058; -1.4340928; 0.0879497; 3.6741904; 0.5390138
1.6965956; 0.9323534; 0.4452788; -1.4262740; 0.0703219; 3.6888023; 0.5411531
1.7963954; 1.0310469; 0.4599673; -1.4201106; 0.0533558; 3.7034141; 0.5432925
1.8961951; 1.1305795; 0.4753255; -1.4155639; 0.0370768; 3.7180259; 0.5454318
1.9959948; 1.2310045; 0.4912076; -1.4125934; 0.0214994; 3.7326378; 0.4134319
2.0957946; 1.3292436; 0.5069920; -1.4102352; 0.0281349; 3.7436754; 0.3993367
2.1955943; 1.4277296; 0.5230997; -1.4069705; 0.0373161; 3.7543059; 0.4004690
2.2953941; 1.5264848; 0.5396301; -1.4027624; 0.0468087; 3.7649364; 0.4016014
2.3951938; 1.6251832; 0.5566276; -1.3975764; 0.0568759; 3.7755670; 0.4027337
2.4949936; 1.7234990; 0.5741361; -1.3913598; 0.0678029; 3.7861975; 0.3709357
2.5947933; 1.8229341; 0.5925458; -1.3838725; 0.0809407; 3.7959623; 0.3341453
2.6945930; 1.9233758; 0.6120010; -1.3747947; 0.0968526; 3.8047372; 0.3349169
2.7943928; 2.0223974; 0.6321962; -1.3641187; 0.1148645; 3.8135121; 0.3356884
2.8941925; 2.1196816; 0.6532087; -1.3516836; 0.1355817; 3.8222870; 0.3364599
2.9939923; 2.2149113; 0.6751160; -1.3372891; 0.1597624; 3.8310618; 0.3372485
3.0937920; 2.3110898; 0.6988446; -1.3200770; 0.1867077; 3.8398372; 0.3380724
3.1935917; 2.4141120; 0.7263776; -1.2986957; 0.2160846; 3.8486138; 0.3388443
3.2933915; 2.5127295; 0.7551457; -1.2745191; 0.2572128; 3.8573905; 0.3396161
3.3931912; 2.6061670; 0.7850509; -1.2466179; 0.3155250; 3.8661672; 0.3403880
3.4929910; 2.6936494; 0.8159949; -1.2137080; 0.3999904; 3.8749439; 0.4066946
3.5927907; 2.7918909; 0.8552421; -1.1663167; 0.4863837; 3.8854042; 0.4363997
3.6925905; 2.8867692; 0.8989058; -1.1111421; 0.5734513; 3.8965974; 0.4376551
3.7923902; 2.9706291; 0.9434607; -1.0521302; 0.6728636; 3.9077906; 0.4823246
3.8921899; 3.0494911; 0.9919839; -0.9844080; 0.7932238; 3.9200891; 0.6033210
3.9919897; 3.1311631; 1.0512321; -0.9018119; 0.8014327; 3.9354188; 0.6056757
4.0917894; 3.2051737; 1.1141945; -0.8338828; 0.5621517; 3.9507485; 0.6370752
4.1915892; 3.2735430; 1.1790975; -0.7907351; 0.4317247; 3.9668090; 0.6585711
4.2913889; 3.3407479; 1.2483896; -0.7498053; 0.4118361; 3.9833433; 0.6613104
4.3911887; 3.4102648; 1.3262284; -0.7088905; 0.3701689; 3.9998777; 0.6446245
4.4909884; 3.4727129; 1.4016483; -0.6752624; 0.3125396; 4.0159293; 0.6366237
4.5907881; 3.5316582; 1.4774317; -0.6475932; 0.2670667; 4.0317190; 0.6391218
4.6905879; 3.5918851; 1.5592379; -0.6221820; 0.2353658; 4.0475086; 0.6416200
4.7903876; 3.6529986; 1.6466661; -0.5983391; 0.2131519; 4.0632983; 0.6248845
4.8901874; 3.7063310; 1.7265813; -0.5790313; 0.1888065; 4.0786174; 0.6254710
4.9899871; 3.7591258; 1.8089224; -0.5615839; 0.1687935; 4.0938935; 0.6278092
5.0897868; 3.8120096; 1.8945280; -0.5454376; 0.1527909; 4.1091695; 0.6301475
5.1895866; 3.8648544; 1.9831299; -0.5303634; 0.1399644; 4.1244455; 0.6073591
5.2893863; 3.9150189; 2.0700377; -0.5167273; 0.1340208; 4.1391158; 0.5883179
5.3891861; 3.9628060; 2.1554312; -0.5036751; 0.1328802; 4.1532767; 0.5903272
5.4889858; 4.0102122; 2.2428134; -0.4904897; 0.1325037; 4.1674377; 0.5923366
