# b42b7868-eb37-422d-b2d0-fe87b4cd3c5f
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.5727685; 1.3473208; -2.3334706; 0.6157584; 2.2244644; 1.4548004
0.0996240; -2.4982278; 1.2802240; -2.2750278; 0.5486086; 2.2886913; 1.4962071
0.1992480; -2.4207038; 1.2177785; -2.2239084; 0.4778608; 2.3529182; 1.7324443
0.2988720; -2.3406613; 1.1593423; -2.1800843; 0.4111354; 2.4251619; 3.0417242
0.3984959; -2.2575540; 1.1037807; -2.1407145; 0.3757550; 2.5470508; 3.1908540
0.4981199; -2.1728545; 1.0516339; -2.1052415; 0.3369823; 2.6689396; 3.1534083
0.5977439; -2.0865610; 1.0024133; -2.0736096; 0.3070012; 2.7841604; 2.8920657
0.6973679; -1.9985755; 0.9557460; -2.0434731; 0.2978324; 2.8857906; 2.9957425
0.7969919; -1.9092492; 0.9117094; -2.0143426; 0.2868711; 2.9874208; 2.8532348
0.8966159; -1.8188420; 0.8703039; -1.9863932; 0.2755921; 3.0811011; 2.7233691
0.9962399; -1.7273146; 0.8313828; -1.9595315; 0.2644299; 3.1679346; 2.7990543
1.0958638; -1.6344261; 0.7947414; -1.9337119; 0.2526169; 3.2547681; 2.5997053
1.1954878; -1.5411327; 0.7606281; -1.9091560; 0.2422264; 3.3333919; 2.5572325
1.2951118; -1.4468895; 0.7287186; -1.8855419; 0.2324243; 3.4089625; 2.6145571
1.3947358; -1.3513762; 0.6988294; -1.8627719; 0.2226131; 3.4845330; 2.3922836
1.4943598; -1.2560948; 0.6713179; -1.8411667; 0.2131493; 3.5522708; 2.4000606
1.5939838; -1.1598590; 0.6457263; -1.8203980; 0.2040298; 3.6189550; 2.4446962
1.6936077; -1.0625259; 0.6219559; -1.8003987; 0.1952436; 3.6856391; 2.2255052
1.7932317; -0.9658192; 0.6003241; -1.7814480; 0.1873088; 3.7453122; 2.2569765
1.8928557; -0.8681971; 0.5803881; -1.7631612; 0.1798368; 3.8048734; 2.2844188
1.9924797; -0.7697540; 0.5621202; -1.7455108; 0.1728080; 3.8642240; 2.1018877
2.0921037; -0.6719214; 0.5457038; -1.7286946; 0.1663078; 3.9180383; 2.1309568
2.1917277; -0.5733810; 0.5308397; -1.7124257; 0.1602717; 3.9718526; 2.1515753
2.2913517; -0.4742557; 0.5175062; -1.6966789; 0.1546831; 4.0254577; 1.9983817
2.3909756; -0.3755934; 0.5057814; -1.6815623; 0.1496862; 4.0746145; 2.0226368
2.4905996; -0.2764726; 0.4954971; -1.6668751; 0.1451570; 4.1237713; 2.0128507
2.5902236; -0.1769907; 0.4866298; -1.6525848; 0.1411395; 4.1721153; 0.4347316
2.6898476; -0.0777382; 0.4791945; -1.6385625; 0.1406851; 4.1824832; 0.4358106
2.7894716; 0.0217209; 0.4731439; -1.6245522; 0.1405827; 4.1928510; 0.4368896
2.8890956; 0.1213100; 0.4684852; -1.6105268; 0.1408301; 4.2032189; -0.1833489
2.9887196; 0.2210094; 0.4652217; -1.5965250; 0.1399594; 4.1988709; -0.1951946
3.0883435; 0.3206522; 0.4633519; -1.5825988; 0.1396018; 4.1942371; -0.1949791
3.1879675; 0.4201252; 0.4628686; -1.5687071; 0.1397896; 4.1896033; -0.4171855
3.2875915; 0.5201721; 0.4637804; -1.5546219; 0.1419731; 4.1796713; -0.4296318
3.3872155; 0.6198400; 0.4661030; -1.5403223; 0.1450297; 4.1694183; -0.4285766
3.4868395; 0.7189304; 0.4698430; -1.5257550; 0.1489280; 4.1591653; -0.6160123
3.5864635; 0.8190478; 0.4751148; -1.5105137; 0.1553085; 4.1443838; -0.6274006
3.6860875; 0.9184806; 0.4819002; -1.4946933; 0.1622453; 4.1292746; -0.6251091
3.7857114; 1.0170487; 0.4902240; -1.4782830; 0.1696298; 4.1141654; -0.7838426
3.8853354; 1.1168803; 0.5003536; -1.4609723; 0.1753894; 4.0951408; -0.7837531
3.9849594; 1.2157732; 0.5121431; -1.4432115; 0.1813137; 4.0760295; -0.7913514
4.0845834; 1.3138598; 0.5256318; -1.4249576; 0.1874138; 4.0566417; -0.9004479
4.1842074; 1.4129591; 0.5411508; -1.4058570; 0.1934900; 4.0344676; -0.8955125
4.2838314; 1.5109203; 0.5584376; -1.3862928; 0.1999248; 4.0122936; -0.9130053
4.3834554; 1.6083238; 0.5776291; -1.3661129; 0.2064315; 3.9895596; -0.9685078
