# d5eea3f4-3597-424d-ad92-44925505d142
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.6659983; 1.2782830; -2.5111750; 0.4350702; 3.1783498; 0.0439726
0.0997970; -2.6053186; 1.1988309; -2.4674948; 0.4385272; 3.1797302; 0.0439917
0.1995941; -2.5413611; 1.1222811; -2.4236189; 0.4409225; 3.1811106; 0.0495198
0.2993911; -2.4741764; 1.0486968; -2.3796075; 0.4421393; 3.1826637; 0.4693897
0.3991881; -2.4037901; 0.9781046; -2.3357916; 0.4367668; 3.1973483; 0.4715504
0.4989851; -2.3303375; 0.9105898; -2.2925027; 0.4308881; 3.2120328; 0.4861902
0.5987822; -2.2539445; 0.8462077; -2.2497622; 0.4244978; 3.2271032; 0.9330226
0.6985792; -2.1752168; 0.7853553; -2.2080673; 0.4134790; 3.2558288; 0.9412910
0.7983762; -2.0938226; 0.7276365; -2.1673587; 0.4024307; 3.2845543; 0.9569268
0.8981732; -2.0099211; 0.6730731; -2.1276277; 0.3914456; 3.3135018; 1.2845018
0.9979703; -1.9245449; 0.6221734; -2.0894066; 0.3776195; 3.3519655; 1.2993265
1.0977673; -1.8369742; 0.5743339; -2.0523989; 0.3641620; 3.3904293; 1.3141512
1.1975643; -1.7473533; 0.5295314; -2.0165636; 0.3512104; 3.4288930; 1.5272649
1.2973613; -1.6569747; 0.4882394; -1.9823900; 0.3366574; 3.4730592; 1.5497301
1.3971584; -1.5648890; 0.4498440; -1.9495059; 0.3226237; 3.5173083; 1.5693496
1.4969554; -1.4712144; 0.4142877; -1.9178560; 0.3092338; 3.5615573; 1.6789188
1.5967524; -1.3771901; 0.3818819; -1.8877654; 0.2959116; 3.6082949; 1.7098459
1.6965495; -1.2819765; 0.3521756; -1.8588929; 0.2831357; 3.6552794; 1.7319662
1.7963465; -1.1855848; 0.3250697; -1.8311546; 0.2710100; 3.7022639; 1.7726204
1.8961435; -1.0890053; 0.3007121; -1.8047259; 0.2597878; 3.7497416; 1.8000668
1.9959405; -0.9917209; 0.2788393; -1.7793535; 0.2492114; 3.7973471; 1.8227757
2.0957376; -0.8936125; 0.2593333; -1.7549292; 0.2392265; 3.8449525; 1.8261831
2.1955346; -0.7953255; 0.2422233; -1.7315215; 0.2302458; 3.8920631; 1.8376057
2.2953316; -0.6967262; 0.2273835; -1.7089776; 0.2220246; 3.9388996; 1.8595870
2.3951286; -0.5976113; 0.2147058; -1.6871811; 0.2143240; 3.9857362; 1.8504994
2.4949257; -0.4982935; 0.2041583; -1.6661328; 0.2073459; 4.0318038; 1.8357506
2.5947227; -0.3988998; 0.1956794; -1.6457644; 0.2010972; 4.0769899; 1.8562100
2.6945197; -0.2992716; 0.1891917; -1.6259786; 0.1953298; 4.1221760; 1.8516154
2.7943167; -0.1994993; 0.1846472; -1.6067368; 0.1901180; 4.1667621; 1.8041948
2.8941138; -0.0996715; 0.1819986; -1.5879816; 0.1855655; 4.2097521; 1.8227138
2.9939108; 0.0001258; 0.1812006; -1.5696713; 0.1814360; 4.2527422; 1.8324571
3.0937078; 0.0998513; 0.1822088; -1.5517651; 0.1776675; 4.2955283; 1.7496465
3.1935049; 0.1998733; 0.1849953; -1.5341905; 0.1736864; 4.3359869; 1.7660488
3.2933019; 0.2995952; 0.1895073; -1.5170309; 0.1701826; 4.3764455; 1.7824510
3.3930989; 0.3989209; 0.1956915; -1.5002491; 0.1671524; 4.4169041; 1.6895130
3.4928959; 0.4988569; 0.2035935; -1.4835370; 0.1665260; 4.4549140; 1.6924482
3.5926930; 0.5983058; 0.2131276; -1.4668998; 0.1666186; 4.4926675; 1.7067305
3.6924900; 0.6970532; 0.2242521; -1.4503158; 0.1672470; 4.5304210; 1.6219216
3.7922870; 0.7964363; 0.2371335; -1.4334372; 0.1700349; 4.5660092; 1.6045697
3.8920840; 0.8953607; 0.2516717; -1.4162588; 0.1736283; 4.6009459; 1.6168002
3.9918811; 0.9933408; 0.2678077; -1.3988265; 0.1775269; 4.6358825; 1.5328156
4.0916781; 1.0918172; 0.2858205; -1.3808921; 0.1803746; 4.6687630; 1.5003185
4.1914751; 1.1898831; 0.3055940; -1.3627263; 0.1828315; 4.7007236; 1.5105541
4.2912721; 1.2868235; 0.3269857; -1.3444453; 0.1855034; 4.7326842; 1.4207998
4.3910692; 1.3841666; 0.3503620; -1.3257462; 0.1879410; 4.7625500; 1.3825125
4.4908662; 1.4809884; 0.3755485; -1.3068226; 0.1904046; 4.7914324; 1.3908713
4.5906632; 1.5764989; 0.4023380; -1.2878022; 0.1931289; 4.8203147; 1.2887534
4.6904603; 1.6724603; 0.4312579; -1.2683340; 0.1951269; 4.8469229; 1.2570900
4.7902573; 1.7675992; 0.4619692; -1.2487372; 0.1969369; 4.8727373; 1.2637674
4.8900543; 1.8612454; 0.4942385; -1.2291342; 0.1989064; 4.8985518; 1.1423187
4.9898513; 1.9555540; 0.5288430; -1.2090890; 0.2000579; 4.9217689; 1.1296242
5.0896484; 2.0485491; 0.5650953; -1.1890682; 0.2011158; 4.9446209; 1.1226748
5.1894454; 2.1401227; 0.6029202; -1.1690877; 0.2021260; 4.9672281; 1.0013375
5.2892424; 2.2322726; 0.6431766; -1.1487643; 0.2020439; 4.9873055; 1.0053767
5.3890394; 2.3226827; 0.6848691; -1.1286597; 0.2017900; 5.0073829; 0.9617097
5.4888365; 2.4122385; 0.7283700; -1.1085953; 0.2009916; 5.0265132; 0.8854628
5.5886335; 2.5014845; 0.7739561; -1.0885388; 0.1991972; 5.0440626; 0.8885489
5.6884305; 2.5889695; 0.8208569; -1.0688725; 0.1969636; 5.0616121; 0.8079993
5.7882275; 2.6762174; 0.8698584; -1.0493080; 0.1938521; 5.0775180; 0.7797396
5.8880246; 2.7622915; 0.9204180; -1.0301503; 0.1898313; 5.0928205; 0.7671369
5.9878216; 2.8469568; 0.9723263; -1.0115286; 0.1851769; 5.1078309; 0.6842997
6.0876186; 2.9313660; 1.0262475; -0.9932110; 0.1804086; 5.1211833; 0.6860862
6.1874157; 3.0142799; 1.0813405; -0.9755283; 0.1746830; 5.1345357; 0.6359163
6.2872127; 3.0963631; 1.1379657; -0.9583824; 0.1696527; 5.1468808; 0.6048994
6.3870097; 3.1775329; 1.1960112; -0.9417041; 0.1644016; 5.1585964; 0.5990947
6.4868067; 3.2576097; 1.2552815; -0.9256354; 0.1584048; 5.1701733; 0.5413403
6.5866038; 3.3367629; 1.3158304; -0.9099994; 0.1552203; 5.1806120; 0.5424322
6.6864008; 3.4151178; 1.3777138; -0.8947019; 0.1510438; 5.1910506; 0.5278047
6.7861978; 3.4924824; 1.4407341; -0.8797561; 0.1500907; 5.2011877; 0.5184263
6.8859948; 3.5689147; 1.5049253; -0.8646565; 0.1526707; 5.2111254; 0.5189787
6.9857919; 3.6444448; 1.5703497; -0.8492195; 0.1566444; 5.2210548; 0.5148386
7.0855889; 3.7190004; 1.6370066; -0.8332147; 0.1636371; 5.2308864; 0.5158072
7.1853859; 3.7922489; 1.7046822; -0.8164922; 0.1719658; 5.2407179; 0.5089766
7.2851829; 3.8645232; 1.7737980; -0.7988040; 0.1821990; 5.2504012; 0.5037826
7.3849800; 3.9354911; 1.8441854; -0.7800048; 0.1942116; 5.2599681; 0.5025453
7.4847770; 4.0046558; 1.9154936; -0.7600481; 0.2085096; 5.2694943; 0.4767473
7.5845740; 4.0729939; 1.9889700; -0.7379055; 0.2329636; 5.2785155; 0.4775628
7.6843711; 4.1390304; 2.0633715; -0.7134905; 0.2579866; 5.2875367; 0.4433491
7.7841681; 4.2034962; 2.1398784; -0.6865423; 0.2793782; 5.2958979; 0.4242680
7.8839651; 4.2656999; 2.2180333; -0.6575663; 0.3014201; 5.3038869; 0.4012837
7.9837621; 4.3251333; 2.2974959; -0.6262173; 0.3414996; 5.3114320; 0.3331628
8.0835592; 4.3820621; 2.3793148; -0.5883303; 0.4162216; 5.3176881; 0.3335550
8.1833562; 4.4356107; 2.4634968; -0.5438329; 0.4718206; 5.3239443; 0.1976095
8.2831532; 4.4843365; 2.5485174; -0.4968620; 0.4809534; 5.3276472; 0.1854447
8.3829502; 4.5299542; 2.6376700; -0.4492955; 0.4654672; 5.3311198; 0.0934495
8.4827473; 4.5711184; 2.7282168; -0.4048701; 0.4185052; 5.3328688; 0.0007815
8.5825443; 4.6082283; 2.8197566; -0.3663208; 0.3642917; 5.3328834; 0.0007815
8.6823413; 4.6430829; 2.9156828; -0.3314526; 0.3207488; 5.3328981; -0.1701680
8.7821383; 4.6736846; 3.0091473; -0.3021544; 0.2746547; 5.3297127; -0.1968057
8.8819354; 4.7021222; 3.1047354; -0.2768434; 0.2341940; 5.3260263; -0.2013888
8.9817324; 4.7288377; 3.2029707; -0.2548055; 0.1996344; 5.3222514; -0.4102444
9.0815294; 4.7527419; 3.2983510; -0.2368716; 0.1659213; 5.3145534; -0.4096506
9.1813265; 4.7754282; 3.3956362; -0.2218242; 0.1359726; 5.3068554; -0.4137717
9.2811235; 4.7970569; 3.4944851; -0.2094528; 0.1089249; 5.2990685; -0.6403373
9.3809205; 4.8171657; 3.5914094; -0.2001737; 0.0789761; 5.2869954; -0.6388767
9.4807175; 4.8366803; 3.6893342; -0.1937024; 0.0509475; 5.2749222; -0.6374161
9.5805146; 4.8558174; 3.7879923; -0.1899341; 0.0242412; 5.2628490; -0.8668945
9.6803116; 4.8745737; 3.8860212; -0.1884575; 0.0060689; 5.2463847; -0.8853952
9.7801086; 4.8932843; 3.9841344; -0.1887125; -0.0111697; 5.2295155; -0.8825437
9.8799056; 4.9120918; 4.0821611; -0.1906928; -0.0285752; 5.2126464; -1.0902802
9.9797027; 4.9312080; 4.1804261; -0.1933497; -0.0180947; 5.1917308; -1.1474373
10.0794997; 4.9504625; 4.2784596; -0.1942090; 0.0009638; 5.1696274; -1.1425418
10.1792967; 4.9696346; 4.3761243; -0.1931502; 0.0203870; 5.1475239; -1.3157406
10.2790937; 4.9886768; 4.4741709; -0.1902387; 0.0367466; 5.1219517; -1.4027957
10.3788908; 5.0073641; 4.5723130; -0.1858321; 0.0515049; 5.0945460; -1.3952697
10.4786878; 5.0254904; 4.6702443; -0.1799624; 0.0663880; 5.0671404; -1.5320403
10.5784848; 5.0430002; 4.7684721; -0.1726090; 0.0807450; 5.0368766; -1.6309279
10.6782819; 5.0597356; 4.8669432; -0.1638461; 0.0947333; 5.0044582; -1.6203970
10.7780789; 5.0755077; 4.9653697; -0.1537038; 0.1087678; 4.9720399; -1.7256403
