# a1c380fd-73ad-42d7-871f-df41fc3bfa62
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.6163930; 1.3150163; -2.3724442; 0.5467129; 2.5513001; -0.0119644
0.0998217; -2.5445801; 1.2448688; -2.3159468; 0.5787849; 2.5508319; -0.0119622
0.1996433; -2.4693221; 1.1794255; -2.2566268; 0.6105003; 2.5503637; -0.0112701
0.2994650; -2.3905467; 1.1189166; -2.1945063; 0.6293865; 2.5499226; -0.0038608
0.3992867; -2.3076573; 1.0629407; -2.1367499; 0.5250986; 2.5497714; -0.0038606
0.4991083; -2.2221371; 1.0115045; -2.0895445; 0.4210295; 2.5496203; 0.9277482
0.5989300; -2.1346458; 0.9637685; -2.0525509; 0.3334447; 2.5856880; 4.8011016
0.6987517; -2.0453198; 0.9188901; -2.0206927; 0.3034718; 2.7648310; 5.1225970
0.7985733; -1.9548999; 0.8768411; -1.9920163; 0.2713419; 2.9439740; 4.8204986
0.8983950; -1.8634464; 0.8372841; -1.9664926; 0.2465419; 3.1031215; 3.8334505
0.9982167; -1.7709824; 0.7999716; -1.9423516; 0.2375180; 3.2240791; 3.9800192
1.0980383; -1.6775156; 0.7648057; -1.9191204; 0.2275984; 3.3450367; 4.2043390
1.1978600; -1.5834161; 0.7318198; -1.8969943; 0.2151408; 3.4682328; 4.4413686
1.2976817; -1.4887163; 0.7008861; -1.8762902; 0.2004830; 3.5937902; 4.5992969
1.3975033; -1.3930251; 0.6717343; -1.8569724; 0.1857460; 3.7193477; 4.1717973
1.4973250; -1.2971474; 0.6444623; -1.8390113; 0.1769347; 3.8296760; 3.9019050
1.5971467; -1.2008473; 0.6188977; -1.8216294; 0.1719749; 3.9300646; 4.0028638
1.6969683; -1.1036300; 0.5948694; -1.8046557; 0.1670173; 4.0304532; 3.4128356
1.7967900; -1.0065171; 0.5725793; -1.7882575; 0.1621643; 4.1141102; 3.1590221
1.8966117; -0.9090196; 0.5518538; -1.7723252; 0.1575580; 4.1900573; 3.2168048
1.9964333; -0.8107205; 0.5325704; -1.7567630; 0.1531876; 4.2660045; 2.4537289
2.0962550; -0.7126404; 0.5148856; -1.7416600; 0.1502766; 4.3230388; 2.1634397
2.1960767; -0.6142535; 0.4986638; -1.7267847; 0.1481244; 4.3727087; 2.1881547
2.2958983; -0.5152396; 0.4838405; -1.7120509; 0.1462505; 4.4223785; 1.3593969
2.3957200; -0.4163881; 0.4705158; -1.6975396; 0.1448100; 4.4529570; 1.0254361
2.4955417; -0.3173414; 0.4586192; -1.6831470; 0.1437987; 4.4758851; 1.0307025
2.5953633; -0.2178860; 0.4481205; -1.6688010; 0.1431581; 4.4988132; 0.3405262
2.6951850; -0.1184523; 0.4390605; -1.6545271; 0.1427869; 4.5063626; 0.0095394
2.7950067; -0.0189363; 0.4314219; -1.6402813; 0.1427333; 4.5065739; 0.0095399
2.8948283; 0.0807518; 0.4251980; -1.6260124; 0.1430403; 4.5067852; -0.1576159
