# 455bf718-4ef5-46e4-9a19-d9594c97295e
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.6953783; 1.2565267; -2.5691057; 0.4370326; 3.1749722; 0.0965749
0.0999064; -2.6394334; 1.1737642; -2.5251534; 0.4427850; 3.1780097; 0.0966673
0.1998127; -2.5798995; 1.0935769; -2.4806588; 0.4480946; 3.1810471; 0.0967596
0.2997191; -2.5168043; 1.0160938; -2.4356381; 0.4528276; 3.1840846; -0.0484289
0.3996255; -2.4504016; 0.9416896; -2.3901759; 0.4589859; 3.1825647; -0.0554621
0.4995319; -2.3805586; 0.8703000; -2.3440033; 0.4656105; 3.1808231; -0.0554318
0.5994382; -2.3073257; 0.8021045; -2.2970652; 0.4724377; 3.1790816; 0.0194501
0.6993446; -2.2312740; 0.7376950; -2.2499378; 0.4726102; 3.1796928; 0.0280650
0.7992510; -2.1521218; 0.6768274; -2.2027491; 0.4725964; 3.1805745; 0.0280728
0.8991574; -2.0699473; 0.6196041; -2.1553985; 0.4731270; 3.1814562; -0.0057238
0.9990637; -1.9855523; 0.5665763; -2.1081236; 0.4758280; 3.1812764; -0.0132365
1.0989701; -1.8986098; 0.5175422; -2.0604349; 0.4797401; 3.1808607; -0.0132348
1.1988765; -1.8091230; 0.4725869; -2.0121607; 0.4843589; 3.1804450; 0.1797427
1.2987829; -1.7179655; 0.4321648; -1.9646595; 0.4596993; 3.1860862; 0.2590976
1.3986892; -1.6250006; 0.3959436; -1.9205807; 0.4241092; 3.1942004; 0.2597566
1.4985956; -1.5302384; 0.3635783; -1.8798177; 0.3903309; 3.2023146; 2.0361870
1.5985020; -1.4345126; 0.3350045; -1.8425148; 0.3551965; 3.2652220; 3.4734130
1.6984084; -1.3379625; 0.3098764; -1.8089088; 0.3186652; 3.3698230; 3.5829292
1.7983147; -1.2403910; 0.2877739; -1.7788061; 0.2833321; 3.4744240; 3.7125878
1.8982211; -1.1422662; 0.2684551; -1.7520322; 0.2567934; 3.5795872; 3.8551058
1.9981275; -1.0438945; 0.2517042; -1.7271281; 0.2424049; 3.6856131; 3.9676260
2.0980339; -0.9449746; 0.2373149; -1.7035984; 0.2284414; 3.7916390; 4.0331559
2.1979402; -0.8456823; 0.2251808; -1.6814228; 0.2152361; 3.8964602; 3.9499410
2.2978466; -0.7463534; 0.2152069; -1.6605179; 0.2036378; 3.9964547; 4.0500239
2.3977530; -0.6467457; 0.2072477; -1.6407328; 0.1924174; 4.0964493; 4.1501067
2.4976594; -0.5469394; 0.2012022; -1.6220380; 0.1815785; 4.1964439; 3.7379488
2.5975657; -0.4470949; 0.1969780; -1.6042317; 0.1748615; 4.2845106; 3.8112791
2.6974721; -0.3472020; 0.1944995; -1.5870799; 0.1684819; 4.3724791; 3.8887361
2.7973785; -0.2473293; 0.1937033; -1.5705584; 0.1624041; 4.4604475; 3.4847396
2.8972849; -0.1472972; 0.1945309; -1.5545646; 0.1576248; 4.5378285; 3.4077847
2.9971912; -0.0473525; 0.1969340; -1.5390193; 0.1534047; 4.6122453; 3.4632151
3.0970976; 0.0523684; 0.2008616; -1.5239088; 0.1494574; 4.6866620; 3.1312135
3.1970040; 0.1522620; 0.2062913; -1.5091403; 0.1458864; 4.7529420; 2.8921992
3.2969104; 0.2521204; 0.2131827; -1.4946987; 0.1427210; 4.8133518; 2.9287269
3.3968167; 0.3515278; 0.2214693; -1.4806055; 0.1398953; 4.8737617; 2.6892833
3.4967231; 0.4509862; 0.2311613; -1.4667316; 0.1384669; 4.9285805; 2.3117837
3.5966295; 0.5506675; 0.2422732; -1.4528204; 0.1390019; 4.9752216; 2.3335579
3.6965359; 0.6496214; 0.2546994; -1.4389119; 0.1399941; 5.0218626; 2.1712347
3.7964422; 0.7483347; 0.2684980; -1.4248799; 0.1420921; 5.0648736; 1.7052913
3.8963486; 0.8476411; 0.2838240; -1.4103991; 0.1461842; 5.0984001; 1.7165421
3.9962550; 0.9459666; 0.3004754; -1.3956050; 0.1505652; 5.1319266; 1.5936204
4.0961614; 1.0437770; 0.3185525; -1.3804016; 0.1548670; 5.1628574; 1.1055462
4.1960677; 1.1423712; 0.3383573; -1.3646726; 0.1579800; 5.1842066; 1.1101084
4.2959741; 1.2398189; 0.3595409; -1.3487557; 0.1612734; 5.2055559; 0.9881640
4.3958805; 1.3366504; 0.3822254; -1.3325451; 0.1646787; 5.2244866; 0.5506176
4.4957869; 1.4341827; 0.4067753; -1.3158162; 0.1680272; 5.2350053; 0.5517251
4.5956932; 1.5304101; 0.4327257; -1.2988932; 0.1716120; 5.2455240; 0.4047338
4.6955996; 1.6261032; 0.4602956; -1.2816183; 0.1751246; 5.2532269; 0.0751385
4.7955060; 1.7221711; 0.4898053; -1.2638706; 0.1780923; 5.2546557; 0.0751589
4.8954124; 1.8167703; 0.5207182; -1.2459932; 0.1811975; 5.2560845; 0.0361118
4.9953187; 1.9111177; 0.5534465; -1.2277509; 0.1838268; 5.2567709; -0.0071493
5.0952251; 2.0052680; 0.5880595; -1.2092112; 0.1858154; 5.2566350; -0.0071491
5.1951315; 2.0978191; 0.6240465; -1.1906600; 0.1878215; 5.2564991; -0.0387603
5.2950379; 2.1905727; 0.6621278; -1.1717545; 0.1890283; 5.2557624; -0.0512208
5.3949442; 2.2823640; 0.7018604; -1.1528101; 0.1897411; 5.2547886; -0.0521786
5.4948506; 2.3725656; 0.7429452; -1.1339762; 0.1902230; 5.2537965; -0.0789882
5.5947570; 2.4633376; 0.7863887; -1.1148637; 0.1895393; 5.2522942; -0.0789657
5.6946634; 2.5524162; 0.8311191; -1.0960239; 0.1883869; 5.2507920; -0.0840383
5.7945697; 2.6406789; 0.8775351; -1.0773177; 0.1865956; 5.2491928; -0.0910135
5.8944761; 2.7284496; 0.9258020; -1.0587569; 0.1838582; 5.2474602; -0.0909835
5.9943825; 2.8146566; 0.9752893; -1.0406498; 0.1803246; 5.2457277; -0.0888429
6.0942888; 2.9006161; 1.0267131; -1.0227621; 0.1767814; 5.2440354; -0.0884865
6.1941952; 2.9853600; 1.0794650; -1.0053259; 0.1724013; 5.2423493; -0.0830094
6.2941016; 3.0690623; 1.1335867; -0.9883818; 0.1680476; 5.2407671; -0.0729682
6.3940080; 3.1520545; 1.1892452; -0.9717670; 0.1642670; 5.2393759; -0.0729488
6.4939143; 3.2340363; 1.2461967; -0.9556107; 0.1592293; 5.2379847; -0.0476291
6.5938207; 3.3149841; 1.3043617; -0.9398855; 0.1566068; 5.2370762; -0.0435101
6.6937271; 3.3951960; 1.3639194; -0.9243848; 0.1535356; 5.2362461; -0.0292187
6.7936335; 3.4745502; 1.4247508; -0.9091914; 0.1515001; 5.2356886; -0.0039845
6.8935398; 3.5528397; 1.4866734; -0.8939783; 0.1535111; 5.2356126; -0.0039844
6.9934462; 3.6303778; 1.5499610; -0.8784626; 0.1567321; 5.2355365; 0.0197866
7.0933526; 3.7068878; 1.6144390; -0.8624976; 0.1628585; 5.2359141; 0.0243757
7.1932590; 3.7822421; 1.6800724; -0.8458504; 0.1705286; 5.2363792; 0.0291196
7.2931653; 3.8564794; 1.7469933; -0.8283603; 0.1799815; 5.2369347; 0.0395895
7.3930717; 3.9296561; 1.8153889; -0.8097555; 0.1917191; 5.2376900; 0.0395952
7.4929781; 4.0011052; 1.8847818; -0.7900217; 0.2047755; 5.2384452; 0.0408549
7.5928845; 4.0715449; 1.9560669; -0.7684505; 0.2273876; 5.2392243; 0.0411567
7.6927908; 4.1400864; 2.0286620; -0.7445025; 0.2524054; 5.2400090; 0.0356717
7.7926972; 4.2067442; 2.1029237; -0.7180868; 0.2757958; 5.2406891; 0.0253018
7.8926036; 4.2716024; 2.1793172; -0.6893756; 0.2976976; 5.2411714; 0.0253042
7.9925100; 4.3336557; 2.2569730; -0.6585710; 0.3226362; 5.2416537; -0.0113970
8.0924163; 4.3933392; 2.3369089; -0.6228620; 0.3952575; 5.2414365; -0.0144491
8.1923227; 4.4498382; 2.4191333; -0.5801832; 0.4571322; 5.2411611; -0.0493125
8.2922291; 4.5020929; 2.5030585; -0.5331951; 0.4826367; 5.2402210; -0.0800530
8.3921355; 4.5504395; 2.5896287; -0.4855773; 0.4746844; 5.2386946; -0.0845909
8.4920418; 4.5957317; 2.6806313; -0.4384653; 0.4479912; 5.2370811; -0.1644426
8.5919482; 4.6352723; 2.7697410; -0.3977289; 0.3900503; 5.2339431; -0.1643440
8.6918546; 4.6724881; 2.8632044; -0.3609380; 0.3432207; 5.2308052; -0.2026469
