# 3fed0640-2deb-4764-b85f-39a6c9245bba
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.6702832; 1.2751099; -2.5460450; 0.3510351; 3.7625381; 0.6907249
0.0997729; -2.6128980; 1.1935440; -2.5108969; 0.3535501; 3.7808100; 0.6940711
0.1995458; -2.5526788; 1.1140574; -2.4755747; 0.3545775; 3.7990819; 0.6974174
0.2993187; -2.4896051; 1.0366504; -2.4401797; 0.3540912; 3.8173538; 0.0150250
0.3990916; -2.4241067; 0.9618464; -2.4045096; 0.3633812; 3.8177465; 0.0103875
0.4988645; -2.3557312; 0.8892339; -2.3678184; 0.3722176; 3.8180179; 0.0103883
0.5986373; -2.2844319; 0.8189470; -2.3301363; 0.3803413; 3.8182894; -0.0305092
0.6984102; -2.2111121; 0.7519485; -2.2921447; 0.3845758; 3.8174921; -0.0319430
0.7981831; -2.1349687; 0.6875402; -2.2535708; 0.3889719; 3.8166571; -0.0319360
0.8979560; -2.0560100; 0.6258528; -2.2143660; 0.3935293; 3.8158222; 0.0251430
0.9977289; -1.9753648; 0.5677898; -2.1752642; 0.3929696; 3.8164795; 0.0315252
1.0975018; -1.8922401; 0.5127466; -2.1361110; 0.3925442; 3.8173036; 0.0315320
1.1972747; -1.8066254; 0.4607665; -2.0967844; 0.3927960; 3.8181277; -0.0196420
1.2970476; -1.7196068; 0.4124945; -2.0577976; 0.3900804; 3.8176144; -0.0333986
1.3968205; -1.6306555; 0.3675768; -2.0190732; 0.3872287; 3.8167414; -0.0333909
1.4965934; -1.5396519; 0.3259575; -1.9804296; 0.3851955; 3.8158684; 0.0531455
1.5963663; -1.4474779; 0.2880166; -1.9422321; 0.3797690; 3.8172578; 0.1034311
1.6961391; -1.3540066; 0.2536168; -1.9047606; 0.3727767; 3.8199602; 0.1035043
1.7959120; -1.2589694; 0.2226032; -1.8678048; 0.3666755; 3.8226627; 0.5187905
1.8956849; -1.1629768; 0.1951240; -1.8315660; 0.3564776; 3.8361794; 1.0584691
1.9954578; -1.0663391; 0.1711382; -1.7968610; 0.3407507; 3.8636104; 1.0660108
2.0952307; -0.9686436; 0.1503869; -1.7635724; 0.3259988; 3.8910414; 1.3261607
2.1950036; -0.8702153; 0.1328102; -1.7316806; 0.3112199; 3.9248991; 2.3157733
2.2947765; -0.7716711; 0.1183511; -1.7015839; 0.2932556; 3.9833323; 2.3499953
2.3945494; -0.6725461; 0.1067564; -1.6731777; 0.2761330; 4.0417654; 2.3842174
2.4943223; -0.5729804; 0.0978862; -1.6463939; 0.2598946; 4.1001985; 3.0996693
2.5940952; -0.4734412; 0.0916194; -1.6211806; 0.2458591; 4.1749436; 3.1907894
2.6938681; -0.3737309; 0.0877944; -1.5973187; 0.2325064; 4.2505132; 3.2480271
2.7936410; -0.2739420; 0.0862841; -1.5747546; 0.2197726; 4.3260828; 3.4993929
2.8934138; -0.1740615; 0.0869657; -1.5533640; 0.2090759; 4.4060506; 3.6543989
2.9931867; -0.0742513; 0.0897321; -1.5329693; 0.1995020; 4.4880398; 3.7217743
3.0929596; 0.0253439; 0.0944784; -1.5135359; 0.1903673; 4.5700291; 3.7874124
3.1927325; 0.1249571; 0.1011242; -1.4949602; 0.1820820; 4.6519811; 3.8523258
3.2925054; 0.2246119; 0.1095971; -1.4771179; 0.1747688; 4.7338825; 3.9195569
3.3922783; 0.3237829; 0.1197751; -1.4600430; 0.1678399; 4.8157839; 3.9515938
3.4920512; 0.4226524; 0.1315964; -1.4436544; 0.1619157; 4.8969683; 3.8630779
3.5918241; 0.5220163; 0.1451141; -1.4275617; 0.1590977; 4.9750537; 3.9241900
3.6915970; 0.6206240; 0.1601309; -1.4118175; 0.1566491; 5.0531391; 3.9853021
3.7913699; 0.7183935; 0.1765826; -1.3963923; 0.1545747; 5.1312245; 3.7270474
3.8911428; 0.8172746; 0.1948004; -1.3807855; 0.1559093; 5.2031896; 3.7783322
3.9909156; 0.9151557; 0.2144196; -1.3651453; 0.1574700; 5.2751428; 3.8302227
4.0906885; 1.0119883; 0.2354114; -1.3494559; 0.1592644; 5.3470961; 3.5077990
4.1904614; 1.1097819; 0.2582429; -1.3334054; 0.1602908; 5.4121533; 3.4956627
4.2902343; 1.2066918; 0.2825152; -1.3173412; 0.1613279; 5.4762166; 3.5367971
4.3900072; 1.3023850; 0.3081218; -1.3013019; 0.1625278; 5.5402799; 3.1502951
4.4897801; 1.3989223; 0.3356386; -1.2849202; 0.1638741; 5.5967249; 3.0908178
4.5895530; 1.4945576; 0.3646037; -1.2684709; 0.1653861; 5.6515563; 3.1209512
4.6893259; 1.5888089; 0.3948509; -1.2520176; 0.1670833; 5.7063878; 2.6479840
4.7890988; 1.6839452; 0.4271396; -1.2351644; 0.1683377; 5.7524999; 2.5845622
4.8888717; 1.7779528; 0.4608233; -1.2182932; 0.1695707; 5.7971540; 2.6045474
