# 0c928334-90e1-4da3-bdbf-1b1e2ff5a1dc
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.6377392; 1.2992092; -1.9605317; 0.5229582; 2.4978491; 2.0876028
0.0999412; -2.5423923; 1.2629426; -1.9084132; 0.4982310; 2.5800243; 2.1551701
0.1998823; -2.4470277; 1.2320701; -1.8597964; 0.4713467; 2.6621994; 2.2227373
0.2998235; -2.3520320; 1.2061625; -1.8147578; 0.4431386; 2.7443745; 2.3082285
0.3997646; -2.2537191; 1.1839377; -1.7724851; 0.3862267; 2.8271833; 2.3864359
0.4997058; -2.1545378; 1.1655337; -1.7373524; 0.3088517; 2.9103216; 2.4555964
0.5996469; -2.0570242; 1.1505291; -1.7109844; 0.2239574; 2.9934599; 3.1243686
0.6995881; -1.9577352; 1.1375026; -1.6927820; 0.1473001; 3.0960149; 3.7984828
0.7995292; -1.8574131; 1.1258439; -1.6813957; 0.0761024; 3.2162956; 3.9432426
0.8994704; -1.7595325; 1.1152174; -1.6778238; -0.0056263; 3.3365764; 4.0528925
0.9994115; -1.6601667; 1.1043966; -1.6812293; -0.0417550; 3.4558419; 4.1723473
1.0993527; -1.5605684; 1.0931376; -1.6855325; -0.0439715; 3.5744680; 4.3131517
1.1992938; -1.4625893; 1.0816284; -1.6899408; -0.0452274; 3.6930942; 4.0587000
1.2992350; -1.3632104; 1.0695146; -1.6940835; -0.0363077; 3.8013428; 4.1222522
1.3991761; -1.2641668; 1.0570774; -1.6971650; -0.0253072; 3.9082185; 4.1475885
1.4991173; -1.1653736; 1.0444185; -1.6991361; -0.0156653; 4.0128795; 3.9501278
1.5990584; -1.0664458; 1.0315791; -1.7005256; -0.0121830; 4.1100806; 4.0446639
1.6989996; -0.9672680; 1.0185847; -1.7015680; -0.0086589; 4.2072817; 3.9397294
1.7989407; -0.8683825; 1.0055419; -1.7022327; -0.0043191; 4.2998490; 3.8766126
1.8988819; -0.7694807; 0.9924537; -1.7024209; 0.0005189; 4.3890281; 3.9561885
1.9988230; -0.6699583; 0.9792886; -1.7021319; 0.0052066; 4.4782072; 3.7632108
2.0987642; -0.5713430; 0.9662952; -1.7013959; 0.0095506; 4.5614185; 3.7991508
2.1987053; -0.4722293; 0.9533321; -1.7002312; 0.0137243; 4.6439123; 3.8223744
2.2986465; -0.3727006; 0.9404538; -1.6986501; 0.0178270; 4.7254573; 3.6478327
2.3985876; -0.2739908; 0.9278605; -1.6966576; 0.0221985; 4.8019875; 3.7064359
