# e1f251c9-e68d-4a2e-a59d-2d1d80103dff
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.5457165; 1.3673532; -2.2400851; 0.4797288; 2.7042633; 1.8741773
0.0996782; -2.4651813; 1.3067063; -2.1927723; 0.4579010; 2.7724843; 1.9208686
0.1993564; -2.3830148; 1.2505407; -2.1484689; 0.4315610; 2.8407053; 2.0032354
0.2990346; -2.2991137; 1.1983090; -2.1072917; 0.3989355; 2.9101485; 2.2642673
0.3987128; -2.2119844; 1.1487282; -2.0698772; 0.3465440; 2.9866973; 2.3230536
0.4983910; -2.1239147; 1.1025672; -2.0382023; 0.2898546; 3.0632460; 2.6723843
0.5980691; -2.0346322; 1.0590003; -2.0122440; 0.2364034; 3.1490051; 3.2494311
0.6977473; -1.9439352; 1.0173609; -1.9909066; 0.1906972; 3.2502350; 3.3522370
0.7974255; -1.8527481; 0.9775750; -1.9743060; 0.1427032; 3.3514650; 3.5542931
0.8971037; -1.7610505; 0.9391300; -1.9614829; 0.1271111; 3.4555591; 3.7198551
0.9967819; -1.6687511; 0.9018013; -1.9487166; 0.1291375; 3.5612449; 3.8319106
1.0964601; -1.5756693; 0.8655428; -1.9357650; 0.1299665; 3.6669308; 3.4412169
1.1961383; -1.4828310; 0.8307662; -1.9225142; 0.1379153; 3.7593098; 3.4788030
1.2958165; -1.3890229; 0.7970849; -1.9083667; 0.1458156; 3.8504456; 3.4825942
1.3954947; -1.2943271; 0.7646332; -1.8934163; 0.1521498; 3.9395696; 3.0919771
1.4951729; -1.2001595; 0.7339430; -1.8782556; 0.1539622; 4.0170405; 3.1521882
1.5948511; -1.1047469; 0.7044553; -1.8627962; 0.1556089; 4.0945113; 3.0255777
1.6945292; -1.0087908; 0.6764262; -1.8471627; 0.1572697; 4.1675162; 2.6725163
1.7942074; -0.9131489; 0.6501076; -1.8314594; 0.1593531; 4.2309543; 2.7128901
1.8938856; -0.8163539; 0.6251172; -1.8154195; 0.1615586; 4.2943924; 2.4836711
1.9935638; -0.7192880; 0.6017211; -1.7991887; 0.1631838; 4.3516597; 2.1443123
2.0932420; -0.6223432; 0.5800147; -1.7829318; 0.1641526; 4.4005028; 2.1682457
2.1929202; -0.5244511; 0.5597721; -1.7664591; 0.1654741; 4.4493458; 1.8844022
2.2925984; -0.4263910; 0.5411793; -1.7498863; 0.1661611; 4.4913635; 1.5488170
2.3922766; -0.3283636; 0.5242688; -1.7333585; 0.1662254; 4.5256063; 1.5605806
2.4919548; -0.2296662; 0.5089225; -1.7167297; 0.1668217; 4.5598491; 1.2854374
2.5916330; -0.1308050; 0.4952332; -1.7000509; 0.1669752; 4.5878627; 0.9634869
2.6913111; -0.0319422; 0.4832171; -1.6834474; 0.1665444; 4.6087484; 0.9678631
2.7909893; 0.0672915; 0.4728250; -1.6668301; 0.1666266; 4.6296340; 0.7462909
2.8906675; 0.1667184; 0.4640815; -1.6501991; 0.1660565; 4.6456742; 0.4589661
2.9903457; 0.2662044; 0.4569913; -1.6337125; 0.1646563; 4.6555114; 0.4599369
3.0900239; 0.3657261; 0.4515395; -1.6173412; 0.1639643; 4.6653487; 0.3003659
3.1897021; 0.4654508; 0.4477118; -1.6009744; 0.1643991; 4.6717618; 0.0649203
3.2893803; 0.5653766; 0.4455196; -1.5844557; 0.1662882; 4.6731467; 0.0649395
3.3890585; 0.6649160; 0.4449880; -1.5677710; 0.1691003; 4.6745317; -0.0467864
3.4887367; 0.7645854; 0.4461357; -1.5507185; 0.1736861; 4.6735339; -0.2186342
3.5884149; 0.8646171; 0.4490248; -1.5330198; 0.1801022; 4.6688685; -0.2184159
3.6880931; 0.9639138; 0.4536792; -1.5147798; 0.1869544; 4.6642031; -0.3022301
3.7877712; 1.0633083; 0.4601933; -1.4958163; 0.1933226; 4.6577397; -0.4114547
3.8874494; 1.1630011; 0.4686617; -1.4762044; 0.1987467; 4.6489260; -0.4106754
3.9871276; 1.2617822; 0.4790275; -1.4561861; 0.2043804; 4.6401123; -0.4728288
4.0868058; 1.3607387; 0.4914515; -1.4355205; 0.2098914; 4.6299439; -0.5266196
4.1864840; 1.4596504; 0.5059818; -1.4142631; 0.2154285; 4.6185924; -0.5253268
4.2861622; 1.5574719; 0.5225033; -1.3926017; 0.2213226; 4.6072409; -0.5625305
4.3858404; 1.6556480; 0.5413186; -1.3702007; 0.2265856; 4.5950543; -0.5778483
4.4855186; 1.7532427; 0.5623232; -1.3473293; 0.2316600; 4.5825022; -0.5762677
4.5851968; 1.8495471; 0.5853832; -1.3241278; 0.2369643; 4.5699501; -0.5774927
4.6848750; 1.9464762; 0.6110256; -1.3001461; 0.2413311; 4.5573366; -0.5761416
4.7845532; 2.0421426; 0.6388194; -1.2758849; 0.2457542; 4.5447178; -0.5660852
4.8842313; 2.1367541; 0.6688325; -1.2512679; 0.2500214; 4.5322850; -0.5317741
4.9839095; 2.2314523; 0.7014916; -1.2260677; 0.2531013; 4.5205746; -0.5303984
5.0835877; 2.3245445; 0.7362509; -1.2007652; 0.2561412; 4.5088642; -0.4857587
5.1832659; 2.4170298; 0.7734963; -1.1751020; 0.2581800; 4.4981126; -0.4490994
5.2829441; 2.5086619; 0.8131703; -1.1492688; 0.2591882; 4.4881495; -0.4481036
5.3826223; 2.5985828; 0.8548884; -1.1235376; 0.2599070; 4.4781864; -0.3434044
5.4823005; 2.6882641; 0.8993490; -1.0975722; 0.2586885; 4.4705362; -0.3369305
5.5819787; 2.7762905; 0.9458580; -1.0719097; 0.2567163; 4.4630174; -0.2846511
5.6816569; 2.8630553; 0.9945751; -1.0464935; 0.2538749; 4.4566554; -0.2031405
5.7813351; 2.9488269; 1.0456296; -1.0213449; 0.2498581; 4.4521096; -0.2029332
