# 9f4fa427-60fb-4a5e-953b-af0c5197aff1
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.0862549; 0.9670778; -2.4401764; 0.4121286; 3.3384164; 0.4032523
0.0997833; -3.0197574; 0.8915726; -2.3990108; 0.4061061; 3.3504477; 0.4047029
0.1995667; -2.9506817; 0.8192999; -2.3587049; 0.4001960; 3.3624790; 0.4061536
0.2993500; -2.8792289; 0.7502742; -2.3192251; 0.3945885; 3.3745103; 0.5432267
0.3991333; -2.8049992; 0.6839939; -2.2802308; 0.3886297; 3.3905353; 0.7896629
0.4989167; -2.7276460; 0.6201425; -2.2416262; 0.3809997; 3.4136959; 0.7950387
0.5987000; -2.6483834; 0.5596406; -2.2040297; 0.3729802; 3.4368566; 0.8004145
0.6984833; -2.5673812; 0.5024370; -2.1674476; 0.3647586; 3.4600172; 1.0219756
0.7982667; -2.4835895; 0.4477156; -2.1313194; 0.3573323; 3.4893655; 1.0860234
0.8980500; -2.3980009; 0.3960861; -2.0959846; 0.3495440; 3.5202849; 1.0956042
0.9978333; -2.3110414; 0.3476807; -2.0616031; 0.3412650; 3.5512043; 1.1536590
1.0976167; -2.2224959; 0.3022597; -2.0280675; 0.3326600; 3.5834737; 1.2782331
1.1974000; -2.1320116; 0.2595755; -1.9952292; 0.3236950; 3.6188916; 1.2908047
1.2971833; -2.0404750; 0.2199602; -1.9634043; 0.3143753; 3.6543095; 1.3033762
1.3969667; -1.9479928; 0.1833292; -1.9326044; 0.3048332; 3.6897274; 1.5263620
1.4967500; -1.8540184; 0.1493689; -1.9027551; 0.2920846; 3.7307773; 1.5818452
1.5965333; -1.7591732; 0.1181903; -1.8742691; 0.2784955; 3.7728481; 1.5995831
1.6963166; -1.6636719; 0.0897099; -1.8471983; 0.2647442; 3.8149189; 1.7826450
1.7961000; -1.5673916; 0.0637432; -1.8214918; 0.2506597; 3.8612644; 2.0344252
1.8958833; -1.4703344; 0.0401542; -1.7971823; 0.2360631; 3.9134852; 2.0617545
1.9956666; -1.3728789; 0.0188870; -1.7743665; 0.2213818; 3.9657060; 2.0930492
2.0954500; -1.2750961; -0.0002012; -1.7530418; 0.2067199; 4.0180252; 2.3987543
2.1952333; -1.1766454; -0.0173173; -1.7330379; 0.1936291; 4.0771605; 2.4338001
2.2950166; -1.0780034; -0.0325079; -1.7143674; 0.1804995; 4.1362959; 2.4688459
2.3948000; -0.9792258; -0.0459037; -1.6970289; 0.1673737; 4.1954312; 2.6422387
2.4945833; -0.8800839; -0.0576662; -1.6809501; 0.1550169; 4.2578099; 2.7665738
2.5943666; -0.7807378; -0.0678961; -1.6660624; 0.1431163; 4.3221593; 2.8080721
2.6941500; -0.6814048; -0.0766929; -1.6523833; 0.1312278; 4.3865087; 2.9020458
2.7939333; -0.5819806; -0.0841879; -1.6398949; 0.1190692; 4.4520344; 3.1088662
2.8937166; -0.4821993; -0.0905189; -1.6286422; 0.1060156; 4.5211765; 3.1567762
2.9935000; -0.3825602; -0.0957822; -1.6187166; 0.0929251; 4.5903185; 3.2046862
3.0932833; -0.2831028; -0.1001125; -1.6101191; 0.0797827; 4.6594605; 3.5026482
3.1930666; -0.1831002; -0.1036721; -1.6028915; 0.0644233; 4.7338762; 3.5897531
3.2928500; -0.0832644; -0.1065821; -1.5972429; 0.0486492; 4.8089478; 3.6462329
3.3926333; 0.0162723; -0.1090002; -1.5931917; 0.0326852; 4.8840194; 3.7929260
3.4924166; 0.1161325; -0.1111002; -1.5907032; 0.0176413; 4.9609059; 3.9235203
3.5922000; 0.2161343; -0.1130268; -1.5896563; 0.0032379; 5.0392054; 3.9849615
3.6919833; 0.3157395; -0.1149136; -1.5900624; -0.0114524; 5.1175049; 4.0201964
3.7917666; 0.4152943; -0.1169128; -1.5918761; -0.0211699; 5.1953011; 4.0103935
3.8915500; 0.5153935; -0.1191222; -1.5937838; -0.0169147; 5.2717639; 4.0689860
3.9913333; 0.6150777; -0.1214910; -1.5952539; -0.0125527; 5.3482267; 4.0844153
4.0911166; 0.7144066; -0.1239756; -1.5962809; -0.0084193; 5.4238955; 2.7288447
4.1909000; 0.8144589; -0.1265788; -1.5974460; -0.0148794; 5.4738678; 2.7538712
4.2906833; 0.9142009; -0.1293224; -1.5992555; -0.0214021; 5.5238401; 2.7788978
4.3904666; 1.0136920; -0.1322715; -1.6017116; -0.0279517; 5.5738124; -2.9655054
4.4902500; 1.1134501; -0.1354956; -1.6044229; -0.0246101; 5.5204682; -4.1595464
4.5900333; 1.2131743; -0.1389637; -1.6066016; -0.0190447; 5.4447646; -4.1021117
4.6898166; 1.3128261; -0.1426187; -1.6082205; -0.0134159; 5.3690611; -4.0942543
4.7895999; 1.4124793; -0.1463962; -1.6087523; 0.0088625; 5.2924229; -4.0638233
4.8893833; 1.5121694; -0.1500848; -1.6062759; 0.0407715; 5.2152408; -4.0041232
4.9891666; 1.6119168; -0.1533692; -1.6006184; 0.0725801; 5.1380587; -3.7247283
5.0889499; 1.7116500; -0.1559324; -1.5919352; 0.0980106; 5.0652064; -3.3989169
5.1887333; 1.8113585; -0.1575239; -1.5812878; 0.1155114; 4.9978000; -3.3533821
5.2885166; 1.9111676; -0.1579668; -1.5688896; 0.1328983; 4.9303937; -3.2312779
5.3882999; 2.0109849; -0.1570858; -1.5547782; 0.1488500; 4.8645582; -2.9568010
5.4880833; 2.1106167; -0.1547307; -1.5393493; 0.1607530; 4.8035245; -2.9194690
5.5878666; 2.2103330; -0.1507734; -1.5227190; 0.1724996; 4.7424908; -2.8736953
5.6876499; 2.3101010; -0.1450915; -1.5049024; 0.1840328; 4.6816370; -2.6262398
5.7874333; 2.4093867; -0.1376069; -1.4860186; 0.1952549; 4.6253232; -2.5944585
5.8872166; 2.5086990; -0.1281736; -1.4659859; 0.2063257; 4.5690095; -2.5626773
5.9869999; 2.6080046; -0.1166721; -1.4448142; 0.2171853; 4.5126957; -2.3591119
