# 8570a4a3-4b2e-4780-a5b8-455b9c0199be
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.6538478; 0.5467681; -2.0542676; 0.0983215; 2.0765491; 3.5818377
0.0998801; -3.5608339; 0.4986170; -2.0420499; 0.1357447; 2.2422232; 3.8566462
0.1997602; -3.4697903; 0.4530921; -2.0262043; 0.1761844; 2.4078972; 4.1314547
0.2996403; -3.3802251; 0.4102713; -2.0066327; 0.2184412; 2.5735713; 4.4062632
0.3995204; -3.2916465; 0.3702321; -1.9833353; 0.2608925; 2.7392454; 4.4299960
0.4994005; -3.2023513; 0.3325600; -1.9561293; 0.2906036; 2.8962738; 3.3029274
0.5992806; -3.1069286; 0.2954443; -1.9278752; 0.2610317; 3.0080218; 3.4279536
0.6991607; -3.0119673; 0.2613800; -1.9030759; 0.2302998; 3.1197699; 3.5529797
0.7990408; -2.9177822; 0.2300246; -1.8817911; 0.1981784; 3.2315179; 3.6780058
0.8989208; -2.8246878; 0.2010359; -1.8641001; 0.1642401; 3.3432659; 3.8645788
0.9988009; -2.7275120; 0.1725147; -1.8488072; 0.1416902; 3.4567927; 4.0204111
1.0986810; -2.6297082; 0.1453267; -1.8353977; 0.1219130; 3.5710691; 4.1511586
1.1985611; -2.5335487; 0.1198592; -1.8243791; 0.0990324; 3.6853454; 4.2819061
1.2984412; -2.4389625; 0.0957923; -1.8159508; 0.0730973; 3.7996217; 4.0634326
1.3983213; -2.3418397; 0.0718335; -1.8094759; 0.0641099; 3.9049759; 3.9334721
1.4982014; -2.2435392; 0.0482589; -1.8028088; 0.0677654; 4.0043212; 4.0322854
1.5980815; -2.1466385; 0.0257148; -1.7958974; 0.0711255; 4.1036664; 4.1310987
1.6979616; -2.0509515; 0.0041603; -1.7887716; 0.0741096; 4.2030117; 3.9220419
1.7978417; -1.9527635; -0.0172047; -1.7813740; 0.0719799; 4.2952037; 3.9140522
1.8977218; -1.8545100; -0.0378419; -1.7743493; 0.0678453; 4.3852761; 3.9952800
1.9976019; -1.7571316; -0.0576077; -1.7678388; 0.0630875; 4.4753485; 4.0343734
2.0974820; -1.6601536; -0.0766621; -1.7618602; 0.0583255; 4.5644991; 3.8074632
2.1973621; -1.5612926; -0.0954849; -1.7560374; 0.0573463; 4.6470670; 3.8757196
2.2972422; -1.4630227; -0.1136103; -1.7503673; 0.0560886; 4.7296349; 3.9439760
2.3971223; -1.3652515; -0.1310797; -1.7448704; 0.0545560; 4.8122027; 3.8331825
2.4970024; -1.2668899; -0.1481037; -1.7395012; 0.0531459; 4.8911157; 3.7645516
2.5968824; -1.1681561; -0.1646524; -1.7342449; 0.0518361; 4.9673957; 3.8228079
2.6967625; -1.0697164; -0.1806282; -1.7291471; 0.0503711; 5.0436757; 3.8516430
2.7966426; -0.9714162; -0.1960756; -1.7242131; 0.0489251; 5.1193818; 3.6439710
2.8965227; -0.8724208; -0.2111353; -1.7193161; 0.0488740; 5.1899894; 3.6938853
2.9964028; -0.7735907; -0.2256760; -1.7144388; 0.0487651; 5.2605971; 3.7437995
3.0962829; -0.6749002; -0.2397059; -1.7095856; 0.0485981; 5.3312047; 3.5873148
3.1961630; -0.5759098; -0.2532885; -1.7047129; 0.0492205; 5.3979946; 3.5223716
3.2960431; -0.4768041; -0.2663903; -1.6997397; 0.0502742; 5.4627810; 3.5643946
3.3959232; -0.3777950; -0.2789739; -1.6946697; 0.0513228; 5.5275673; 3.5020726
3.4958033; -0.2787458; -0.2910473; -1.6894871; 0.0531758; 5.5904897; 3.1934002
3.5956834; -0.1793571; -0.3026238; -1.6839380; 0.0577544; 5.6472550; 3.2256619
3.6955635; -0.0800795; -0.3136067; -1.6779370; 0.0624234; 5.7040203; 3.2579236
3.7954436; 0.0190679; -0.3239504; -1.6714775; 0.0671908; 5.7607856; 2.3995067
3.8953237; 0.1187083; -0.3336681; -1.6644476; 0.0735202; 5.8022390; 2.2311507
3.9952038; 0.2182989; -0.3426417; -1.6567571; 0.0803350; 5.8405198; 2.2458226
4.0950839; 0.3176719; -0.3507926; -1.6483989; 0.0873595; 5.8788007; 0.8796640
4.1949640; 0.4172598; -0.3580888; -1.6393955; 0.0910299; 5.8937272; -0.7965934
4.2948440; 0.5171485; -0.3644959; -1.6303180; 0.0903322; 5.8802119; -0.7947646
4.3947241; 0.6167832; -0.3699841; -1.6213428; 0.0895397; 5.8666967; -0.9948834
