# b3a9cca9-5db8-4aa7-9e7e-5e6aab2a2bb0
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.0435655; 0.9986898; -2.5372373; 0.3873860; 3.4686084; -0.2172664
0.0997031; -2.9850849; 0.9174241; -2.4983714; 0.3890413; 3.4623576; -0.2168746
0.1994062; -2.9236903; 0.8387525; -2.4594396; 0.3912624; 3.4561067; -0.2164827
0.2991092; -2.8594860; 0.7627823; -2.4203848; 0.3940706; 3.4498559; -0.0172702
0.3988123; -2.7922604; 0.6892880; -2.3810285; 0.3944504; 3.4493568; 0.2704110
0.4985154; -2.7219527; 0.6182478; -2.3417869; 0.3907633; 3.4571641; 0.2710224
0.5982185; -2.6491463; 0.5502067; -2.3030175; 0.3873398; 3.4649715; 0.2716337
0.6979215; -2.5739869; 0.4852083; -2.2646821; 0.3842728; 3.4727788; 0.6718050
0.7976246; -2.4959899; 0.4228035; -2.2266398; 0.3766787; 3.4920130; 0.7418678
0.8973277; -2.4157942; 0.3634435; -2.1894779; 0.3681852; 3.5131308; 0.7463407
0.9970308; -2.3336521; 0.3071876; -2.1532419; 0.3597162; 3.5342485; 0.9121033
1.0967338; -2.2495302; 0.2538978; -2.1178635; 0.3497368; 3.5598865; 1.2335343
1.1964369; -2.1633917; 0.2034475; -2.0836097; 0.3364820; 3.5942685; 1.2453908
1.2961400; -2.0757381; 0.1559865; -2.0507308; 0.3231977; 3.6286505; 1.2572472
1.3958431; -1.9867195; 0.1114306; -2.0192125; 0.3100434; 3.6630325; 1.6554831
1.4955462; -1.8961660; 0.0695517; -1.9889827; 0.2957148; 3.7078189; 1.7471963
1.5952492; -1.8044540; 0.0303776; -1.9602221; 0.2810325; 3.7545070; 1.7690590
1.6949523; -1.7117590; -0.0061811; -1.9329497; 0.2663573; 3.8011951; 1.8997123
1.7946554; -1.6181122; -0.0402718; -1.9071236; 0.2522094; 3.8507010; 2.1165780
1.8943585; -1.5235519; -0.0720253; -1.8826344; 0.2387869; 3.9051193; 2.1462798
1.9940615; -1.4283177; -0.1015012; -1.8594978; 0.2253741; 3.9595376; 2.1759815
2.0937646; -1.3324971; -0.1288159; -1.8377066; 0.2120421; 4.0139560; 2.3746515
2.1934677; -1.2360068; -0.1541267; -1.8171485; 0.2002880; 4.0725130; 2.4297175
2.2931708; -1.1390627; -0.1774971; -1.7977513; 0.1887406; 4.1315691; 2.4646976
2.3928739; -1.0417498; -0.1990274; -1.7795129; 0.1772569; 4.1906251; 2.5481089
2.4925769; -0.9440324; -0.2188425; -1.7623926; 0.1665881; 4.2508173; 2.6503604
