# 15fc09e2-c445-4cfc-afa8-545b438a2617
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.1268583; 0.9370104; -2.5229750; 0.4411484; 3.3140149; -0.0454388
0.0997303; -3.0669046; 0.8565996; -2.4789282; 0.4372039; 3.3126472; -0.0454201
0.1994607; -3.0037538; 0.7792128; -2.4354157; 0.4341514; 3.3112796; -0.0454013
0.2991910; -2.9376001; 0.7049526; -2.3923440; 0.4321363; 3.3099119; 0.1247505
0.3989213; -2.8683029; 0.6335908; -2.3494467; 0.4285558; 3.3136686; 0.5532861
0.4986516; -2.7955024; 0.5647639; -2.3070105; 0.4185321; 3.3302790; 0.5560526
0.5983820; -2.7202250; 0.4993366; -2.2657586; 0.4086635; 3.3468894; 0.5588191
0.6981123; -2.6426906; 0.4372978; -2.2256502; 0.3991854; 3.3634998; 0.9240803
0.7978426; -2.5623301; 0.3780751; -2.1863748; 0.3862368; 3.3907888; 1.1456414
0.8975729; -2.4796272; 0.3219152; -2.1485393; 0.3705831; 3.4243188; 1.1569144
0.9973033; -2.3952275; 0.2690534; -2.1124243; 0.3546332; 3.4578488; 1.1870369
1.0970336; -2.3092921; 0.2193594; -2.0780125; 0.3386398; 3.4919171; 1.7578611
1.1967639; -2.2209931; 0.1722010; -2.0449234; 0.3223327; 3.5417664; 1.7827778
1.2964942; -2.1315045; 0.1280510; -2.0135891; 0.3056061; 3.5916157; 1.8076945
1.3962246; -2.0409747; 0.0867654; -1.9840217; 0.2886664; 3.6414650; 1.9902697
1.4959549; -1.9491388; 0.0480334; -1.9560662; 0.2729837; 3.6955714; 2.1940142
1.5956852; -1.8560710; 0.0117349; -1.9295191; 0.2584314; 3.7543132; 2.2286135
1.6954155; -1.7623116; -0.0220750; -1.9044981; 0.2435934; 3.8130549; 2.2632128
1.7951459; -1.6679547; -0.0535362; -1.8810139; 0.2285871; 3.8717967; 2.4707198
1.8948762; -1.5724743; -0.0829683; -1.8588095; 0.2159438; 3.9349233; 2.5184787
1.9946065; -1.4765210; -0.1102956; -1.8378980; 0.2032180; 3.9982444; 2.5586828
2.0943368; -1.3801851; -0.1356336; -1.8182937; 0.1903690; 4.0615656; 2.6365925
2.1940672; -1.2833034; -0.1591593; -1.7999301; 0.1786791; 4.1257983; 2.7229417
2.2937975; -1.1858884; -0.1809827; -1.7826075; 0.1683440; 4.1911015; 2.7657020
2.3935278; -1.0882492; -0.2011406; -1.7663418; 0.1579388; 4.2564046; 2.8084623
2.4932581; -0.9904293; -0.2197358; -1.7511351; 0.1474933; 4.3217077; 2.8762689
2.5929885; -0.8920355; -0.2369412; -1.7368203; 0.1391634; 4.3875802; 2.9202970
2.6927188; -0.7935316; -0.2527589; -1.7233502; 0.1308679; 4.4534643; 2.9638216
2.7924491; -0.6949633; -0.2672703; -1.7107247; 0.1225735; 4.5193484; 3.0059337
2.8921794; -0.5961024; -0.2805925; -1.6988922; 0.1150239; 4.5852018; 3.0480728
2.9919098; -0.4969992; -0.2927904; -1.6877490; 0.1081722; 4.6510264; 3.0915186
3.0916401; -0.3979344; -0.3038997; -1.6773069; 0.1013259; 4.7168509; 3.1343876
3.1913704; -0.2988921; -0.3139952; -1.6675597; 0.0945545; 4.7826635; 3.1699951
3.2911007; -0.1993175; -0.3231953; -1.6583948; 0.0887498; 4.8483151; 3.2132130
3.3908311; -0.0998870; -0.3314937; -1.6498275; 0.0829821; 4.9139667; 3.2564309
3.4905614; -0.0006406; -0.3389509; -1.6418544; 0.0772414; 4.9796183; 3.3060888
3.5902917; 0.0990189; -0.3456682; -1.6344494; 0.0707775; 5.0453972; 3.3530342
3.6900220; 0.1987610; -0.3516831; -1.6277210; 0.0638825; 5.1112456; 3.3965116
3.7897524; 0.2982023; -0.3570441; -1.6217043; 0.0569387; 5.1770940; 3.4551171
3.8894827; 0.3976164; -0.3618386; -1.6163773; 0.0505995; 5.2432301; 3.5429989
3.9892130; 0.4975616; -0.3661514; -1.6115412; 0.0460579; 5.3101931; 3.5879606
