# e796cc0a-c52f-4f30-a9e4-4b9218ee8e9d
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.7043808; 1.2498603; -2.6123829; 0.3579270; 3.7322681; 0.9706726
0.0996753; -2.6526973; 1.1649938; -2.5767728; 0.3586311; 3.7581018; 0.9773682
0.1993507; -2.5978789; 1.0818111; -2.5410474; 0.3583959; 3.7839355; 0.9840637
0.2990260; -2.5399169; 1.0003540; -2.5052666; 0.3572079; 3.8097693; 0.1622628
0.3987013; -2.4795230; 0.9215922; -2.4694460; 0.3655202; 3.8140122; 0.0777163
0.4983767; -2.4160926; 0.8448172; -2.4325738; 0.3749219; 3.8160427; 0.0777577
0.5980520; -2.3495182; 0.7701154; -2.3945890; 0.3842122; 3.8180732; -0.0100586
0.6977273; -2.2806038; 0.6985033; -2.3561234; 0.3888699; 3.8178106; -0.0356710
0.7974027; -2.2088705; 0.6295126; -2.3172229; 0.3929166; 3.8168792; -0.0356623
0.8970780; -2.1341399; 0.5630771; -2.2777012; 0.3976270; 3.8159478; 0.0053298
0.9967533; -2.0571290; 0.4998995; -2.2379606; 0.3986234; 3.8160870; 0.0334315
1.0964287; -1.9777873; 0.4399136; -2.1983658; 0.3976480; 3.8169601; 0.0334392
1.1961040; -1.8957991; 0.3828889; -2.1586572; 0.3976707; 3.8178332; 0.0089142
1.2957793; -1.8116575; 0.3291932; -2.1189592; 0.3965406; 3.8180660; -0.0333844
1.3954547; -1.7258032; 0.2790607; -2.0797284; 0.3927696; 3.8171943; -0.0333768
1.4951300; -1.6377583; 0.2321674; -2.0406938; 0.3899550; 3.8163227; -0.0265456
1.5948053; -1.5477606; 0.1886447; -2.0018117; 0.3876696; 3.8156293; 0.0334305
1.6944807; -1.4566820; 0.1488603; -1.9635328; 0.3827124; 3.8165025; 0.0334381
1.7941560; -1.3638977; 0.1124733; -1.9255999; 0.3785995; 3.8173757; 0.0334458
1.8938313; -1.2695604; 0.0795325; -1.8879371; 0.3753349; 3.8182489; 0.1520149
1.9935067; -1.1744354; 0.0502567; -1.8509182; 0.3676001; 3.8222152; 0.1808852
2.0931820; -1.0782328; 0.0244633; -1.8147208; 0.3593451; 3.8269294; 0.1811082
2.1928573; -0.9809623; 0.0020861; -1.7792310; 0.3518977; 3.8316436; 0.8239184
2.2925327; -0.8830589; -0.0168465; -1.7446053; 0.3398518; 3.8530172; 1.5254702
2.3922080; -0.7847049; -0.0324338; -1.7116199; 0.3227350; 3.8922801; 1.5409362
2.4918833; -0.6857559; -0.0448677; -1.6802523; 0.3064574; 3.9315431; 1.7027022
2.5915587; -0.5863989; -0.0542772; -1.6504417; 0.2909400; 3.9744769; 2.6365333
2.6912340; -0.4869538; -0.0607914; -1.6222351; 0.2752091; 4.0400570; 2.6796810
2.7909093; -0.3873355; -0.0645761; -1.5955568; 0.2601072; 4.1056372; 2.7228287
2.8905847; -0.2876625; -0.0657761; -1.5703536; 0.2456733; 4.1712174; 3.1865177
2.9902600; -0.1878626; -0.0645296; -1.5464575; 0.2336162; 4.2466798; 3.3585480
3.0899353; -0.0881771; -0.0609590; -1.5237115; 0.2225160; 4.3247911; 3.4197605
3.1896107; 0.0112472; -0.0551871; -1.5020826; 0.2119055; 4.4029024; 3.5484482
3.2892860; 0.1106792; -0.0473043; -1.4814434; 0.2023273; 4.4825144; 3.6974395
3.3889613; 0.2101128; -0.0373961; -1.4616528; 0.1938294; 4.5639919; 3.7640416
3.4886367; 0.3090100; -0.0256055; -1.4427550; 0.1857034; 4.6454694; 3.8188255
3.5883120; 0.4074746; -0.0120168; -1.4246824; 0.1783928; 4.7266978; 3.8048684
3.6879873; 0.5064734; 0.0034505; -1.4070102; 0.1743789; 4.8062641; 3.8683827
3.7876627; 0.6046897; 0.0205543; -1.3898149; 0.1706156; 4.8858305; 3.9318970
3.8873380; 0.7020605; 0.0392180; -1.3730751; 0.1671089; 4.9653968; 3.7747041
3.9870133; 0.8001638; 0.0597262; -1.3563570; 0.1669661; 5.0406007; 3.7958044
4.0866887; 0.8975387; 0.0817858; -1.3396607; 0.1675157; 5.1151101; 3.8515018
4.1863640; 0.9938782; 0.1053059; -1.3230125; 0.1682710; 5.1896196; 3.6595130
4.2860393; 1.0905850; 0.1306396; -1.3061597; 0.1687453; 5.2594370; 3.5782687
4.3857147; 1.1868778; 0.1576090; -1.2892661; 0.1691622; 5.3268197; 3.6238208
4.4853900; 1.2819551; 0.1859742; -1.2724527; 0.1697897; 5.3942023; 3.4243096
4.5850653; 1.3770637; 0.2161076; -1.2554742; 0.1705577; 5.4571107; 3.2414361
4.6847407; 1.4719823; 0.2479713; -1.2383544; 0.1714426; 5.5159985; 3.2762268
4.7844160; 1.5655014; 0.2811541; -1.2212898; 0.1725227; 5.5748863; 3.0595639
4.8840913; 1.6588432; 0.3160884; -1.2040397; 0.1734981; 5.6293236; 2.8091362
